id,celltype_id,celltype_name,type
678,127,granulocytopoietic cell,1
679,127,CL:0002191,3
680,127,granulocytopoietic cell,1
681,128,lung endothelial cell,1
682,128,CL:1001567,3
683,128,lung endothelial cell,1
684,129,proerythroblast,1
685,129,CL:0000547,3
686,129,proerythroblast,1
687,130,Langerhans cell,1
688,130,CL:0000453,3
689,130,Langerhans cell,1
690,131,basal cell of epidermis,1
691,131,CL:0002187,3
692,131,basal cell of epidermis,1
693,132,keratinocyte,1
694,132,CL:0000312,3
695,132,keratinocyte,1
696,133,non-classical monocyte,1
697,133,CL:0000875,3
698,133,non-classical monocyte,1
699,134,leukocyte,1
700,134,CL:0000738,3
701,134,leukocyte,1
702,135,alveolar macrophage,1
703,135,CL:0000583,3
704,135,alveolar macrophage,1
705,136,classical monocyte,1
706,136,CL:0000860,3
707,136,classical monocyte,1
708,137,ciliated columnar cell of tracheobronchial tree,1
709,137,CL:0002145,3
710,137,ciliated columnar cell of tracheobronchial tree,1
711,138,immature T cell,1
712,138,CL:0002420,3
713,138,immature T cell,1
714,139,kidney cell,1
715,139,CL:1000497,3
716,139,kidney cell,1
717,140,mesangial cell,1
718,140,CL:0000650,3
719,140,mesangial cell,1
720,141,kidney collecting duct epithelial cell,1
721,141,CL:1000454,3
722,141,kidney collecting duct epithelial cell,1
723,142,kidney capillary endothelial cell,1
724,142,CL:1000892,3
725,142,kidney capillary endothelial cell,1
726,143,kidney loop of Henle ascending limb epithelial cell,1
727,143,CL:1001016,3
728,143,kidney loop of Henle ascending limb epithelial cell,1
729,144,DN1 thymic pro-T cell,1
730,144,CL:0000894,3
731,144,DN1 thymic pro-T cell,1
732,145,kidney proximal straight tubule epithelial cell,1
733,145,CL:1000839,3
734,145,kidney proximal straight tubule epithelial cell,1
735,28,hepatocyte,1
736,28,CL:0000182,3
737,28,hepatocyte,1
738,146,duct epithelial cell,1
739,146,CL:0000068,3
740,146,duct epithelial cell,1
741,147,skeletal muscle satellite cell,1
742,147,CL:0000594,3
743,147,skeletal muscle satellite cell,1
744,2,endothelial cell,1
745,2,CL:0000115,3
746,2,endothelial cell,1
747,148,endothelial cell of hepatic sinusoid,1
748,148,CL:1000398,3
749,148,endothelial cell of hepatic sinusoid,1
750,149,bladder urothelial cell,1
751,149,CL:1001428,3
752,149,bladder urothelial cell,1
753,150,bladder cell,1
754,150,CL:1001319,3
755,150,bladder cell,1
756,151,neuroendocrine cell,1
757,151,CL:0000165,3
758,151,neuroendocrine cell,1
759,152,mesenchymal cell,1
760,152,CL:0008019,3
761,152,mesenchymal cell,1
762,153,blood cell,1
763,153,CL:0000081,3
764,153,blood cell,1
765,154,cardiac muscle cell,1
766,154,CL:0000746,3
767,154,cardiac muscle cell,1
768,155,endocardial cell,1
769,155,CL:0002350,3
770,155,endocardial cell,1
771,14,basal cell,1
772,14,CL:0000646,3
773,14,basal cell,1
774,156,luminal epithelial cell of mammary gland,1
775,156,CL:0002326,3
776,156,luminal epithelial cell of mammary gland,1
777,157,microglial cell,1
778,157,CL:0000129,3
779,157,microglial cell,1
780,3282,mesenchymal stem cell of adipose,1
781,158,keratinocyte stem cell,1
782,158,CL:0002337,3
783,158,keratinocyte stem cell,1
784,159,granulocyte monocyte progenitor cell,1
785,159,CL:0000557,3
786,159,granulocyte monocyte progenitor cell,1
787,160,skeletal muscle satellite stem cell,1
788,160,CL:0008011,3
789,160,skeletal muscle satellite stem cell,1
790,161,astrocyte of the cerebral cortex,1
791,161,CL:0002605,3
792,161,astrocyte of the cerebral cortex,1
793,162,enteroendocrine cell,1
794,162,CL:0000164,3
795,162,enteroendocrine cell,1
796,163,large intestine goblet cell,1
797,163,CL:1000320,3
798,163,large intestine goblet cell,1
799,164,epithelial cell of proximal tubule,1
800,164,CL:0002306,3
801,164,epithelial cell of proximal tubule,1
802,165,Slamf1-negative multipotent progenitor cell,1
803,165,CL:0002035,3
804,165,Slamf1-negative multipotent progenitor cell,1
805,166,professional antigen presenting cell,1
806,166,CL:0000145,3
807,166,professional antigen presenting cell,1
808,167,pancreatic A cell,1
809,167,CL:0000171,3
810,167,pancreatic A cell,1
811,168,type B pancreatic cell,1
812,168,CL:0000169,3
813,168,type B pancreatic cell,1
814,169,pancreatic PP cell,1
815,169,CL:0002275,3
816,169,pancreatic PP cell,1
817,170,pancreatic ductal cell,1
818,170,CL:0002079,3
819,170,pancreatic ductal cell,1
820,171,pancreatic stellate cell,1
821,171,CL:0002410,3
822,171,pancreatic stellate cell,1
823,119,brush cell of epithelium proper of large intestine,1
824,119,CL:0002203,3
825,119,Brush cell of epithelium proper of large intestine,2
826,172,megakaryocyte-erythroid progenitor cell,1
827,172,CL:0000050,3
828,172,megakaryocyte-erythroid progenitor cell,1
829,173,myofibroblast cell,1
830,173,CL:0000186,3
831,173,myofibroblast cell,1
832,174,common lymphoid progenitor,1
833,174,CL:0000051,3
834,174,common lymphoid progenitor,1
835,175,pancreatic acinar cell,1
836,175,CL:0002064,3
837,175,pancreatic acinar cell,1
838,176,epidermal cell,1
839,176,CL:0000362,3
840,176,epidermal cell,1
841,177,oligodendrocyte precursor cell,1
842,177,CL:0002453,3
843,177,oligodendrocyte precursor cell,1
844,178,erythrocyte,1
845,178,CL:0000232,3
846,178,erythrocyte,1
847,179,epithelial cell of lung,1
848,179,CL:0000082,3
849,179,epithelial cell of lung,1
850,180,stem cell of epidermis,1
851,180,CL:1000428,3
852,180,stem cell of epidermis,1
853,181,brain pericyte,1
854,181,CL:2000043,3
855,181,brain pericyte,1
856,182,Bergmann glial cell,1
857,182,CL:0000644,3
858,182,Bergmann glial cell,1
859,183,Slamf1-positive multipotent progenitor cell,1
860,183,CL:0002036,3
861,183,Slamf1-positive multipotent progenitor cell,1
862,184,mature natural killer cell,1
863,184,CL:0000824,3
864,184,mature natural killer cell,1
865,185,pancreatic D cell,1
866,185,CL:0000173,3
867,185,pancreatic D cell,1
868,186,Kupffer cell,1
869,186,CL:0000091,3
