id,title,description,topic,source,data_pubdate,data_source_url,source_project_id,status
19,Single-cell RNA sequencing of the human biliary tree,"Organoid technology holds great promise for regenerative medicine but has not yet been applied to humans. We address this challenge using cholangiocyte organoids in the context of cholangiopathies, which represent a key reason for liver transplantation. Using single-cell RNA sequencing, we show that primary human cholangiocytes display transcriptional diversity that is lost in organoid culture. However, cholangiocyte organoids remain plastic and resume their in vivo signatures when transplanted back in the biliary tree. We then utilize a model of cell engraftment in human livers undergoing ex vivo normothermic perfusion to demonstrate that this property allows extrahepatic organoids to repair human intrahepatic ducts after transplantation. Our results provide proof of principle that cholangiocyte organoids can be used to repair human biliary epithelium.",disease;developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8495/result,E-MTAB-8495,1
20,A single-cell reference map of transcriptional states for human blood and tissue T cell activation,"Human T cells coordinate adaptive immunity in diverse anatomic compartments through production of cytokines and effector molecules, but it is unclear how tissue site influences T cell persistence and function. Here, we use single cell RNA-sequencing (scRNA-seq) to define the heterogeneity of human T cells isolated from lungs, lymph nodes, bone marrow and blood, and their functional responses following stimulation. Through analysis of >50,000 resting and activated T cells, we reveal tissue T cell signatures in mucosal and lymphoid sites, and lineage-specific activation states across all sites including distinct effector states for CD8+ T cells and an interferon-response state for CD4+ T cells. Comparing scRNA-seq profiles of tumor-associated T cells to our dataset reveals predominant activated CD8+ compared to CD4+ T cell states within multiple tumor types. Our results therefore establish a high dimensional reference map of human T cell activation in health for analyzing T cells in disease.",immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-8/result,E-HCAD-8,1
21,Immunophenotyping of COVID-19 and Influenza Underscores the Association of Type I IFN Response in Severe COVID-19,"Although most SARS-CoV-2-infected individuals experience mild coronavirus disease 2019 (COVID-19), some patients suffer from severe COVID-19, which is accompanied by acute respiratory distress syndrome and systemic inflammation. To identify factors driving severe progression of COVID-19, we performed single-cell RNA-seq using peripheral blood mononuclear cells (PBMCs) obtained from healthy donors, patients with mild or severe COVID-19, and patients with severe influenza. Patients with COVID-19 exhibited hyper-inflammatory signatures across all types of cells among PBMCs, particularly up-regulation of the TNF/IL-1尾-driven inflammatory response as compared to severe influenza. In classical monocytes from patients with severe COVID-19, type I IFN response co-existed with the TNF/IL-1尾-driven inflammation, and this was not seen in patients with milder COVID-19. Interestingly, we documented type I IFN-driven inflammatory features in patients with severe influenza as well. Based on this, we propose that the type I IFN response plays a pivotal role in exacerbating inflammation in severe COVID-19.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-149689/result,E-GEOD-149689,1
22,An integrated approach to profile lung tumor endothelial cell heterogeneity across species and models and to identify angiogenic candidates,"Heterogeneity of lung tumor endothelial cell (TEC) phenotypes across patients, species (human/mouse), and models (in vivo/in vitro) remains poorly inventoried at the single-cell level. We single-cell RNA (scRNA)-sequenced 56,771 endothelial cells from human/mouse (peri)-tumoral lung and cultured human lung TECs, and detected 17 known and 16 previously unrecognized phenotypes, including TECs putatively regulating immune surveillance. We resolved the canonical tip TECs into a known migratory tip and a putative basement-membrane remodeling breach phenotype. Tip TEC signatures correlated with patient survival, and tip/breach TECs were most sensitive to vascular endothelial growth factor blockade. Only tip TECs were congruent across species/models and shared conserved markers. Integrated analysis of the scRNA-sequenced data with orthogonal multi-omics and meta-analysis data across different human tumors, validated by functional analysis, identified collagen modification as a candidate angiogenic pathway.",cancer,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6308/result,E-MTAB-6308,1
23,"10x single cell gene expression of T cells from the blood, synovial fluid and synovial tissue in psoriatic arthritis patients","Psoriatic arthritis (PsA) is a debilitating immune-mediated inflammatory arthritis of unknown pathogenesis commonly affecting patients with skin psoriasis. Here we use complementary single-cell approaches to study leukocytes from PsA joints. Mass cytometry demonstrates a 3-fold expansion of memory CD8 T cells in the joints of PsA patients compared to peripheral blood. Meanwhile, droplet-based and plate-based single-cell RNA sequencing of paired T cell receptor alpha and beta chain sequences show pronounced CD8 T cell clonal expansions within the joints. Transcriptome analyses find these expanded synovial CD8 T cells to express cycling, activation, tissue-homing and tissue residency markers. T cell receptor sequence comparison between patients identifies clonal convergence. Finally, chemokine receptor CXCR3 is upregulated in the expanded synovial CD8 T cells, while two CXCR3 ligands, CXCL9 and CXCL10, are elevated in PsA synovial fluid. Our data thus provide a quantitative molecular insight into the cellular immune landscape of psoriatic arthritis.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-85/result,E-CURD-85,1
24,Myocardial infarction time series single cell RNA-Seq,"Cardiac ischemia leads to the loss of myocardial tissue and the activation of a repair process that culminates in the formation of a scar whose structural characteristics dictate propensity to favorable healing or detrimental cardiac wall rupture. To elucidate the cellular processes underlying scar formation, here we perform unbiased single-cell mRNA sequencing of interstitial cells isolated from infarcted mouse hearts carrying a genetic tracer that labels epicardial-derived cells. Sixteen interstitial cell clusters are revealed, five of which were of epicardial origin. Focusing on stromal cells, we define 11 sub-clusters, including diverse cell states of epicardial- and endocardial-derived fibroblasts. Comparing transcript profiles from post-infarction hearts in C57BL/6J and 129S1/SvImJ inbred mice, which displays a marked divergence in the frequency of cardiac rupture, uncovers an early increase in activated myofibroblasts, enhanced collagen deposition, and persistent acute phase response in 129S1/SvImJ mouse hearts, defining a crucial time window of pathological remodeling that predicts disease outcome.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7895/result,E-MTAB-7895,1
25,A single-cell analysis of the Arabidopsis vegetative shoot apex,"The shoot apical meristem allows for reiterative formation of new aerial structures throughout the life cycle of a plant. We use single-cell RNA sequencing to define the cellular taxonomy of the Arabidopsis vegetative shoot apex at the transcriptome level. We find that the shoot apex is composed of highly heterogeneous cells, which can be partitioned into 7 broad populations with 23 transcriptionally distinct cell clusters. We delineate cell-cycle continuums and developmental trajectories of epidermal cells, vascular tissue, and leaf mesophyll cells and infer transcription factors and gene expression signatures associated with cell fate decisions. Integrative analysis of shoot and root apical cell populations further reveals common and distinct features of epidermal and vascular tissues. Our results, thus, offer a valuable resource for investigating the basic principles underlying cell division and differentiation in plants at single-cell resolution.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-83/result,E-CURD-83,0
26,Single-cell RNA-seq of nasal cavity mucosa cells of mice stimulated with interferon alpha,"There is pressing urgency to understand the pathogenesis of the severe acute respiratory syndrome coronavirus clade 2 (SARS-CoV-2), which causes the disease COVID-19. SARS-CoV-2 spike (S) protein binds angiotensin-converting enzyme 2 (ACE2), and in concert with host proteases, principally transmembrane serine protease 2 (TMPRSS2), promotes cellular entry. The cell subsets targeted by SARS-CoV-2 in host tissues and the factors that regulate ACE2 expression remain unknown. Here, we leverage human, non-human primate, and mouse single-cell RNA-sequencing (scRNA-seq) datasets across health and disease to uncover putative targets of SARS-CoV-2 among tissue-resident cell subsets. We identify ACE2 and TMPRSS2 co-expressing cells within lung type II pneumocytes, ileal absorptive enterocytes, and nasal goblet secretory cells. Strikingly, we discovered that ACE2 is a human interferon-stimulated gene (ISG) in vitro using airway epithelial cells and extend our findings to in vivo viral infections. Our data suggest that SARS-CoV-2 could exploit species-specific interferon-driven upregulation of ACE2, a tissue-protective mediator during lung injury, to enhance infection.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-52/result,E-CURD-52,1
27,Single-cell RNA sequencing reveals the heterogeneity of liver-resident immune cells in human,"The liver plays a critical role in both immune defense and tolerance in the body. The liver-resident immune cells (LrICs) determine the immune properties, but the unique composition and heterogeneity of these cells are incompletely understood. Here, we dissect the diversity of LrICs by a comprehensive transcriptomic profiling using the unbiased single-cell RNA-sequencing (scRNA-seq). A total of 70, 706 of CD45+immune cells from the paired liver perfusion, spleen and peripheral blood as references were profiled. We identified more than 30 discrete cell populations comprising 13 of T and NK cell, 7 of B cell, 4 of plasma cell, and 8 of myeloid cell subsets in human liver and donor-paired spleen and blood, and characterized their tissue distribution, gene expression and functional modules. Especially, four of CXCR6+T and NK cell subsets were found to be present preferentially in the liver, where they manifested heterogeneity, distinct function and prominent homeostatic proliferation. We propose a universal category system of T and NK cells based on distinct chemokine receptors, confirmed subsequently by phenotype, transcriptional factors and functionality. We also identified adaptive changes by the spleen and liver-derived monocyte and macrophage populations. Finally, we give a global glimpse on B cell and plasma cell subsets in human spleen and liver. We, therefore, reveal the heterogeneity and functional diversity of LrICs in human. This study presents comprehensively the landscape of LrICs and will enable further study on their roles in various human diseases.",immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-32/result,E-HCAD-32,1
28,Single-cell RNAseq of Tal1 knockout chimeric mouse embryos at embryonic day 8.5 of mouse development,"Across the animal kingdom, gastrulation represents a key developmental event during which embryonic pluripotent cells diversify into lineage-specific precursors that will generate the adult organism. Here we report the transcriptional profiles of 116,312 single cells from mouse embryos collected at nine sequential time points ranging from 6.5 to 8.5 days post-fertilization. We construct a molecular map of cellular differentiation from pluripotency towards all major embryonic lineages, and explore the complex events involved in the convergence of visceral and primitive streak-derived endoderm. Furthermore, we use single-cell profiling to show that Tal1-/-chimeric embryos display defects in early mesoderm diversification, and we thus demonstrate how combining temporal and transcriptional information can illuminate gene function. Together, this comprehensive delineation of mammalian cell differentiation trajectories in vivo represents a baseline for understanding the effects of gene mutations during development, as well as a roadmap for the optimization of in vitro differentiation protocols for regenerative medicine.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7325/result,E-MTAB-7325,1
29,Single cell sequencing of colorectal tumors and adjacent non-malignant colon tissue,"Immunotherapy for metastatic colorectal cancer is effective only for mismatch repair-deficient tumors with high microsatellite instability that demonstrate immune infiltration, suggesting that tumor cells can determine their immune microenvironment. To understand this cross-talk, we analyzed the transcriptome of 91,103 unsorted single cells from 23 Korean and 6 Belgian patients. Cancer cells displayed transcriptional features reminiscent of normal differentiation programs, and genetic alterations that apparently fostered immunosuppressive microenvironments directed by regulatory T cells, myofibroblasts and myeloid cells. Intercellular network reconstruction supported the association between cancer cell signatures and specific stromal or immune cell populations. Our collective view of the cellular landscape and intercellular interactions in colorectal cancer provide mechanistic information for the design of efficient immuno-oncology treatment strategies.",cancer;immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8410/result,E-MTAB-8410,1
