journal_name,journal_name_full_name
Pharmacol Res,Pharmacological research
Brief Bioinform,Briefings in bioinformatics
Exp Mol Pathol,Experimental and molecular pathology
Zhongguo Ying Yong Sheng Li Xue Za Zhi,Zhongguo ying yong sheng li xue za zhi
BMC Public Health,BMC public health
Hepatol Int,Hepatology international
Biomed Pharmacother,Biomedicine & pharmacotherapy
Int J Gynecol Cancer,International journal of gynecological cancer
Anat Sci Int,Anatomical science international
Neurosurgery,Neurosurgery
Food Microbiol,Food microbiology
J Gene Med,The journal of gene medicine
Zhongguo Yi Xue Ke Xue Yuan Xue Bao,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae
Cell Transplant,Cell transplantation
Contraception,Contraception
Gut,Gut
Sci Rep,Scientific reports
Annu Rev Genomics Hum Genet,Annual review of genomics and human genetics
Phys Med Biol,Physics in medicine and biology
Indian J Pediatr,Indian journal of pediatrics
PLoS One,PloS one
Cancer Genet,Cancer genetics
Genome Med,Genome medicine
Int J Mol Sci,International journal of molecular sciences
J Pathol,The Journal of pathology
Brain Connect,Brain connectivity
Clin Rheumatol,Clinical rheumatology
Oral Oncol,Oral oncology
FEBS Open Bio,FEBS open bio
Glob Health Action,Global health action
Pathol Oncol Res,Pathology oncology research
Clin Transl Med,Clinical and translational medicine
Am J Cancer Res,American journal of cancer research
Elife,eLife
BMJ Open,BMJ open
Invest Ophthalmol Vis Sci,Investigative ophthalmology & visual science
J Hum Genet,Journal of human genetics
Oncologist,The oncologist
Front Oncol,Frontiers in oncology
Onco Targets Ther,OncoTargets and therapy
Surgery,Surgery
Science,Science
Bioengineered,Bioengineered
Comput Struct Biotechnol J,Computational and structural biotechnology journal
NPJ Digit Med,NPJ digital medicine
N Z Med J,The New Zealand medical journal
Comb Chem High Throughput Screen,Combinatorial chemistry & high throughput screening
World J Gastrointest Oncol,World journal of gastrointestinal oncology
J Pathol Clin Res,The journal of pathology. Clinical research
Lung Cancer,Lung cancer
Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,Zhongguo xiu fu chong jian wai ke za zhi
World J Urol,World journal of urology
Am J Perinatol,American journal of perinatology
Nat Biotechnol,Nature biotechnology
World J Surg Oncol,World journal of surgical oncology
Hum Reprod,Human reproduction
Cell Biochem Biophys,Cell biochemistry and biophysics
Technol Cancer Res Treat,Technology in cancer research & treatment
BMC Med Inform Decis Mak,BMC medical informatics and decision making
Ann Surg Oncol,Annals of surgical oncology
Biosci Rep,Bioscience reports
Biomolecules,Biomolecules
Int J Cancer,International journal of cancer
BMC Med,BMC medicine
Arch Oral Biol,Archives of oral biology
Clin Exp Dent Res,Clinical and experimental dental research
Med Image Anal,Medical image analysis
Front Public Health,Frontiers in public health
BMC Bioinformatics,BMC bioinformatics
Biochem J,The Biochemical journal
Zhongguo Shi Yan Xue Ye Xue Za Zhi,Zhongguo shi yan xue ye xue za zhi
Int Immunopharmacol,International immunopharmacology
J Hepatol,Journal of hepatology
Zhongguo Gu Shang,Zhongguo gu shang
Neuropathol Appl Neurobiol,Neuropathology and applied neurobiology
Anticancer Res,Anticancer research
J Ovarian Res,Journal of ovarian research
Cells,Cells
Med (N Y),Med
World J Surg,World journal of surgery
Dig Liver Dis,Digestive and liver disease
Scand J Caring Sci,Scandinavian journal of caring sciences
Biol Open,Biology open
J Clin Lab Anal,Journal of clinical laboratory analysis
World J Mens Health,The world journal of men&  health
PLoS Med,PLoS medicine
Mol Metab,Molecular metabolism
Front Neurosci,Frontiers in neuroscience
Eur Urol Focus,European urology focus
Biochem Biophys Res Commun,Biochemical and biophysical research communications
J Immunother Cancer,Journal for immunotherapy of cancer
J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology
J Magn Reson Imaging,Journal of magnetic resonance imaging
Rehabil Psychol,Rehabilitation psychology
J Manag Care Spec Pharm,Journal of managed care & specialty pharmacy
J Appl Clin Med Phys,Journal of applied clinical medical physics
Hematol Oncol,Hematological oncology
Brain Topogr,Brain topography
Histopathology,Histopathology
Cancer Immunol Immunother,"Cancer immunology, immunotherapy"
Neuroimage Clin,NeuroImage. Clinical
Aerosp Med Hum Perform,Aerospace medicine and human performance
Eur Radiol,European radiology
World J Biol Psychiatry,The world journal of biological psychiatry
Work,Work
Womens Health Issues,Women&  health issues
NPJ Syst Biol Appl,NPJ systems biology and applications
J Oncol,Journal of oncology
Wiley Interdiscip Rev Syst Biol Med,Wiley interdisciplinary reviews. Systems biology and medicine
West J Nurs Res,Western journal of nursing research
Nucleic Acids Res,Nucleic acids research
Zhongguo Fei Ai Za Zhi,Zhongguo fei ai za zhi
Viruses,Viruses
Bioengineering (Basel),Bioengineering
Clin Cancer Res,Clinical cancer research
Virology,Virology
Virchows Arch,Virchows Archiv
Exp Neurobiol,Experimental neurobiology
Cell Prolif,Cell proliferation
J Neuroradiol,Journal of neuroradiology
Neuroimage,NeuroImage
Nat Hum Behav,Nature human behaviour
JAMA Netw Open,JAMA network open
Violence Vict,Violence and victims
Vet J,Veterinary journal
Vet Comp Orthop Traumatol,Veterinary and comparative orthopaedics and traumatology
Behav Brain Res,Behavioural brain research
Value Health Reg Issues,Value in health regional issues
Value Health,Value in health
Zhong Nan Da Xue Xue Bao Yi Xue Ban,Zhong nan da xue xue bao. Yi xue ban
Brain Behav,Brain and behavior
Urology,Urology
Gynecol Oncol,Gynecologic oncology
Digestion,Digestion
Urol Oncol,Urologic oncology
Clin Lab,Clinical laboratory
J Pediatr Health Care,Journal of pediatric health care
J Biochem Mol Toxicol,Journal of biochemical and molecular toxicology
Psychother Psychosom,Psychotherapy and psychosomatics
Epigenomics,Epigenomics
Dis Markers,Disease markers
Eur J Paediatr Dent,European journal of paediatric dentistry
J Prof Nurs,Journal of professional nursing
Clin Exp Pharmacol Physiol,Clinical and experimental pharmacology & physiology
J Invest Dermatol,The Journal of investigative dermatology
Sci Data,Scientific data
Unfallchirurg,Der Unfallchirurg
Radiology,Radiology
BMC Infect Dis,BMC infectious diseases
Evid Based Complement Alternat Med,Evidence-based complementary and alternative medicine
FASEB J,FASEB journal
Ultrasound Obstet Gynecol,Ultrasound in obstetrics & gynecology
BMC Res Notes,BMC research notes
Ultrasound Med Biol,Ultrasound in medicine & biology
Turk Neurosurg,Turkish neurosurgery
Diabetes Res Clin Pract,Diabetes research and clinical practice
Turk J Med Sci,Turkish journal of medical sciences
BMC Genomics,BMC genomics
Zhen Ci Yan Jiu,Zhen ci yan jiu
Zh Vopr Neirokhir Im N N Burdenko,Zhurnal voprosy neirokhirurgii imeni N. N. Burdenko
Zh Nevrol Psikhiatr Im S S Korsakova,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova
Yi Chuan,Yi chuan
Yearb Med Inform,Yearbook of medical informatics
Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,Xi bao yu fen zi mian yi xue za zhi
Womens Health (Lond),Women&  health
Wiad Lek,Wiadomosci lekarskie
West Afr J Med,West African journal of medicine
Wellcome Open Res,Wellcome open research
Vopr Onkol,Voprosy onkologii
Vestn Otorinolaringol,Vestnik otorinolaringologii
Vestn Oftalmol,Vestnik oftalmologii
Vertex,Vertex
Urologe A,Der Urologe. Ausg. A
Tumour Biol,Tumour biology
J Zhejiang Univ Sci B,Journal of Zhejiang University. Science. B
Pediatr Blood Cancer,Pediatric blood & cancer
Am J Drug Alcohol Abuse,The American journal of drug and alcohol abuse
Nat Cell Biol,Nature cell biology
Trends Mol Med,Trends in molecular medicine
Ann Transl Med,Annals of translational medicine
Trends Cogn Sci,Trends in cognitive sciences
Trends Cancer,Trends in cancer
Cell Rep,Cell reports
Hum Mol Genet,Human molecular genetics
Diabetes Technol Ther,Diabetes technology & therapeutics
Mol Cell Proteomics,Molecular & cellular proteomics
Transl Res,Translational research
Nat Methods,Nature methods
Am J Nurs,The American journal of nursing
Transl Psychiatry,Translational psychiatry
JAMA Intern Med,JAMA internal medicine
Front Genet,Frontiers in genetics
J Paediatr Child Health,Journal of paediatrics and child health
ESMO Open,ESMO open
J Pain Symptom Manage,Journal of pain and symptom management
Mol Ther,Molecular therapy
J Int Med Res,The Journal of international medical research
J Bioinform Comput Biol,Journal of bioinformatics and computational biology
Radiother Oncol,Radiotherapy and oncology
J Neuroimaging,Journal of neuroimaging
Rev Esp Enferm Dig,Revista espanola de enfermedades digestivas
Laryngoscope,The Laryngoscope
Vaccine,Vaccine
Genome Res,Genome research
Mol Med,Molecular medicine
Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics"
Biometrics,Biometrics
Oncogene,Oncogene
Eur Rev Med Pharmacol Sci,European review for medical and pharmacological sciences
Autophagy,Autophagy
Int J Biol Sci,International journal of biological sciences
Sci Adv,Science advances
OMICS,Omics
Int Ophthalmol,International ophthalmology
JCO Oncol Pract,JCO oncology practice
Clin Transl Oncol,Clinical & translational oncology
Mol Syst Biol,Molecular systems biology
Immunol Cell Biol,Immunology and cell biology
EBioMedicine,EBioMedicine
Transl Behav Med,Translational behavioral medicine
JCO Clin Cancer Inform,JCO clinical cancer informatics
Epilepsy Res,Epilepsy research
Nat Genet,Nature genetics
Toxicol Pathol,Toxicologic pathology
Mol Cells,Molecules and cells
AIDS Care,AIDS care
DNA Cell Biol,DNA and cell biology
Protein Sci,Protein science
Cereb Cortex,Cerebral cortex
Bioinformatics,Bioinformatics
Pediatr Surg Int,Pediatric surgery international
Acad Psychiatry,Academic psychiatry
Int J Antimicrob Agents,International journal of antimicrobial agents
Brain Imaging Behav,Brain imaging and behavior
J Mol Biol,Journal of molecular biology
Thyroid,Thyroid
Surg Radiol Anat,Surgical and radiologic anatomy
Eur Respir J,The European respiratory journal
In Vitro Cell Dev Biol Anim,In vitro cellular & developmental biology. Animal
Cancer Discov,Cancer discovery
Tissue Cell,Tissue & cell
Thromb Res,Thrombosis research
Eur J Nucl Med Mol Imaging,European journal of nuclear medicine and molecular imaging
Thromb Haemost,Thrombosis and haemostasis
Hum Gene Ther,Human gene therapy
Clin Genet,Clinical genetics
Hum Pathol,Human pathology
Hum Genomics,Human genomics
Head Neck,Head & neck
PLoS Negl Trop Dis,PLoS neglected tropical diseases
Mol Omics,Molecular omics
BMC Urol,BMC urology
Am J Transl Res,American journal of translational research
JAMA Neurol,JAMA neurology
Int J Mol Med,International journal of molecular medicine
Exp Hematol Oncol,Experimental hematology & oncology
Sci Immunol,Science immunology
PLoS Biol,PLoS biology
Gastroenterology,Gastroenterology
Cardiovasc Intervent Radiol,Cardiovascular and interventional radiology
Future Oncol,Future oncology
Indian J Pathol Microbiol,Indian journal of pathology & microbiology
J Psychiatr Res,Journal of psychiatric research
Exp Ther Med,Experimental and therapeutic medicine
CNS Neurosci Ther,CNS neuroscience & therapeutics
J Mol Neurosci,Journal of molecular neuroscience
Exp Cell Res,Experimental cell research
J Endourol,Journal of endourology
Cancer Epidemiol Biomarkers Prev,"Cancer epidemiology, biomarkers & prevention"
Hepatology,Hepatology
Front Mol Biosci,Frontiers in molecular biosciences
Ann Oncol,Annals of oncology
Orthop Surg,Orthopaedic surgery
Am J Physiol Cell Physiol,American journal of physiology. Cell physiology
Schizophr Bull,Schizophrenia bulletin
Osteoarthritis Cartilage,Osteoarthritis and cartilage
Technol Health Care,Technology and health care
JBMR Plus,JBMR plus
Biomech Model Mechanobiol,Biomechanics and modeling in mechanobiology
Neurosurg Focus,Neurosurgical focus
Genome Biol,Genome biology
Childs Nerv Syst,Child&  nervous system
Neurourol Urodyn,Neurourology and urodynamics
Stereotact Funct Neurosurg,Stereotactic and functional neurosurgery
Clin Immunol,Clinical immunology
Breast Cancer,Breast cancer
Med Hypotheses,Medical hypotheses
Oral Dis,Oral diseases
Melanoma Res,Melanoma research
J Hum Lact,Journal of human lactation
Eur Psychiatry,European psychiatry
Nat Rev Cardiol,Nature reviews. Cardiology
Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry"
Wien Klin Wochenschr,Wiener klinische Wochenschrift
Neurochem Int,Neurochemistry international
J Adv Nurs,Journal of advanced nursing
Mol Clin Oncol,Molecular and clinical oncology
Int J Cardiol,International journal of cardiology
Ann Clin Lab Sci,Annals of clinical and laboratory science
FEMS Microbiol Lett,FEMS microbiology letters
World J Clin Oncol,World journal of clinical oncology
Am J Respir Crit Care Med,American journal of respiratory and critical care medicine
Crit Rev Eukaryot Gene Expr,Critical reviews in eukaryotic gene expression
Talanta,Talanta
Int J Rheum Dis,International journal of rheumatic diseases
Syst Biol Reprod Med,Systems biology in reproductive medicine
Interv Neuroradiol,Interventional neuroradiology
Eur J Neurosci,The European journal of neuroscience
Genomics,Genomics
Haematologica,Haematologica
J Cell Mol Med,Journal of cellular and molecular medicine
Cancer Immunol Res,Cancer immunology research
Brain Stimul,Brain stimulation
Drug Dev Res,Drug development research
Pract Radiat Oncol,Practical radiation oncology
Cortex,Cortex; a journal devoted to the study of the nervous system and behavior
NMR Biomed,NMR in biomedicine
Braz J Med Biol Res,Brazilian journal of medical and biological research
Surg Obes Relat Dis,Surgery for obesity and related diseases
Surg Innov,Surgical innovation
Surg Endosc,Surgical endoscopy
Prostate Cancer Prostatic Dis,Prostate cancer and prostatic diseases
Oxid Med Cell Longev,Oxidative medicine and cellular longevity
Oncotarget,Oncotarget
Support Care Cancer,Supportive care in cancer
Cancer Res,Cancer research
Subst Use Misuse,Substance use & misuse
Saudi J Biol Sci,Saudi journal of biological sciences
Subst Abus,Substance abuse
Tremor Other Hyperkinet Mov (N Y),Tremor and other hyperkinetic movements
Transplant Rev (Orlando),Transplantation reviews
Toxins (Basel),Toxins
Toxicol Res (Camb),Toxicology research
Top Magn Reson Imaging,Topics in magnetic resonance imaging
Structure,Structure
Neurol India,Neurology India
Stroke,Stroke
Clin Neurophysiol,Clinical neurophysiology
Bipolar Disord,Bipolar disorders
Strahlenther Onkol,Strahlentherapie und Onkologie
Epilepsia,Epilepsia
Eur J Cancer,European journal of cancer
Afr J Prim Health Care Fam Med,African journal of primary health care & family medicine
Cancer Sci,Cancer science
Stem Cells Dev,Stem cells and development
Surg Oncol,Surgical oncology
Stem Cell Res,Stem cell research
Stem Cell Reports,Stem cell reports
Stat Methods Med Res,Statistical methods in medical research
Stat Med,Statistics in medicine
Diabetes Obes Metab,"Diabetes, obesity & metabolism"
Front Neurol,Frontiers in neurology
Magn Reson Med Sci,Magnetic resonance in medical sciences
BMC Musculoskelet Disord,BMC musculoskeletal disorders
Medwave,Medwave
Cancer Gene Ther,Cancer gene therapy
Spine J,The spine journal
Cell Host Microbe,Cell host & microbe
J Subst Abuse Treat,Journal of substance abuse treatment
Biomed Eng Online,Biomedical engineering online
Mol Cell Endocrinol,Molecular and cellular endocrinology
Theor Biol Med Model,Theoretical biology & medical modelling
Swiss Med Wkly,Swiss medical weekly
Surg Pathol Clin,Surgical pathology clinics
Stud Health Technol Inform,Studies in health technology and informatics
Genet Med,Genetics in medicine
BMC Gastroenterol,BMC gastroenterology
J Pediatr Orthop,Journal of pediatric orthopedics
Soft Robot,Soft robotics
Soc Work Health Care,Social work in health care
Soc Sci Med,Social science & medicine
BMC Surg,BMC surgery
Soc Cogn Affect Neurosci,Social cognitive and affective neuroscience
BMC Complement Altern Med,BMC complementary and alternative medicine
J Neurotrauma,Journal of neurotrauma
Skin Res Technol,Skin research and technology
Gastroenterol Res Pract,Gastroenterology research and practice
Lancet Glob Health,The Lancet. Global health
Skeletal Radiol,Skeletal radiology
Malar J,Malaria journal
PLoS Comput Biol,PLoS computational biology
Front Neuroanat,Frontiers in neuroanatomy
Pediatr Res,Pediatric research
Neuroinformatics,Neuroinformatics
J Mol Cell Biol,Journal of molecular cell biology
Brain Struct Funct,Brain structure & function
Neoplasma,Neoplasma
J Vis Exp,Journal of visualized experiments
STAR Protoc,STAR protocols
Eur Heart J Qual Care Clin Outcomes,European heart journal. Quality of care & clinical outcomes
Phys Chem Chem Phys,Physical chemistry chemical physics
Biomarkers,Biomarkers
J Biol Regul Homeost Agents,Journal of biological regulators and homeostatic agents
Sex Transm Dis,Sexually transmitted diseases
Mayo Clin Proc,Mayo Clinic proceedings
Biomark Med,Biomarkers in medicine
J Neurointerv Surg,Journal of neurointerventional surgery
Am J Mens Health,American journal of men&  health
Sex Abuse,Sexual abuse
Clin Exp Rheumatol,Clinical and experimental rheumatology
J Psychopharmacol,Journal of psychopharmacology
Mol Biol Rep,Molecular biology reports
Semin Nephrol,Seminars in nephrology
Nat Metab,Nature metabolism
Semin Cell Dev Biol,Seminars in cell & developmental biology
J Neurosci,The Journal of neuroscience
Traffic Inj Prev,Traffic injury prevention
J Thorac Oncol,Journal of thoracic oncology
Semin Cancer Biol,Seminars in cancer biology
Life Sci,Life sciences
Seizure,Seizure
Am J Gastroenterol,The American journal of gastroenterology
Drug Alcohol Rev,Drug and alcohol review
J Neurol Sci,Journal of the neurological sciences
Front Neuroinform,Frontiers in neuroinformatics
Commun Biol,Communications biology
Sr Care Pharm,The Senior care pharmacist
Sci Transl Med,Science translational medicine
Neuromodulation,Neuromodulation
Math Biosci Eng,Mathematical biosciences and engineering
J Vasc Interv Radiol,Journal of vascular and interventional radiology
Spine (Phila Pa 1976),Spine
Biomedicines,Biomedicines
Sci Signal,Science signaling
Med Phys,Medical physics
Front Aging Neurosci,Frontiers in aging neuroscience
Fundam Clin Pharmacol,Fundamental & clinical pharmacology
Cell Mol Gastroenterol Hepatol,Cellular and molecular gastroenterology and hepatology
Clin Colorectal Cancer,Clinical colorectal cancer
Mov Disord,Movement disorders
Trends Plant Sci,Trends in plant science
Physiother Theory Pract,Physiotherapy theory and practice
Proc Biol Sci,Proceedings. Biological sciences
BMC Med Genet,BMC medical genetics
J Toxicol Environ Health A,Journal of toxicology and environmental health. Part A
J Anat,Journal of anatomy
J Mol Diagn,The Journal of molecular diagnostics
Biostatistics,Biostatistics
Cell Syst,Cell systems
Cancer Imaging,Cancer imaging
Cancer Lett,Cancer letters
Cancer Manag Res,Cancer management and research
Prev Chronic Dis,Preventing chronic disease
Leuk Res,Leukemia research
BJU Int,BJU international
J Affect Disord,Journal of affective disorders
Biol Psychiatry,Biological psychiatry
J Clin Endocrinol Metab,The Journal of clinical endocrinology and metabolism
Rev Saude Publica,Revista de saude publica
Clin Microbiol Rev,Clinical microbiology reviews
BMC Geriatr,BMC geriatrics
Cell Res,Cell research
J Gynecol Obstet Hum Reprod,Journal of gynecology obstetrics and human reproduction
Endocrinology,Endocrinology
Cell Mol Neurobiol,Cellular and molecular neurobiology
Chronic Illn,Chronic illness
Genes Genomics,Genes & genomics
Otol Neurotol,Otology & neurotology
J Pharm Policy Pract,Journal of pharmaceutical policy and practice
Aten Primaria,Atencion primaria
Auris Nasus Larynx,"Auris, nasus, larynx"
Protein Cell,Protein & cell
Pigment Cell Melanoma Res,Pigment cell & melanoma research
J Surg Res,The Journal of surgical research
Int J Clin Exp Pathol,International journal of clinical and experimental pathology
Pancreas,Pancreas
Br J Oral Maxillofac Surg,The British journal of oral & maxillofacial surgery
Perspect Psychol Sci,Perspectives on psychological science
Acta Neuropathol Commun,Acta neuropathologica communications
Lancet Infect Dis,The Lancet. Infectious diseases
Biochem Res Int,Biochemistry research international
Environ Health Prev Med,Environmental health and preventive medicine
Mol Cancer Res,Molecular cancer research
Comput Math Methods Med,Computational and mathematical methods in medicine
J Med Internet Res,Journal of medical Internet research
Liver Transpl,Liver transplantation
Cell Biochem Funct,Cell biochemistry and function
Am J Reprod Immunol,American journal of reproductive immunology
Infection,Infection
ERJ Open Res,ERJ open research
Biochemistry,Biochemistry
J Biophotonics,Journal of biophotonics
Oncoimmunology,Oncoimmunology
Am J Cardiol,The American journal of cardiology
Andrologia,Andrologia
Ann Anat,Annals of anatomy
J Nurs Scholarsh,Journal of nursing scholarship
AIDS Res Hum Retroviruses,AIDS research and human retroviruses
Curr Opin Biotechnol,Current opinion in biotechnology
J Comput Assist Tomogr,Journal of computer assisted tomography
Cell Mol Biol Lett,Cellular & molecular biology letters
Genet Epidemiol,Genetic epidemiology
Appl Psychol Health Well Being,Applied psychology. Health and well-being
J Endocrinol Invest,Journal of endocrinological investigation
Comput Biol Chem,Computational biology and chemistry
Int J Gynecol Pathol,International journal of gynecological pathology
BMC Oral Health,BMC oral health
Gastric Cancer,Gastric cancer
Clin Res Hepatol Gastroenterol,Clinics and research in hepatology and gastroenterology
Cancer Control,Cancer control
Arthritis Res Ther,Arthritis research & therapy
Gene,Gene
J Gerontol B Psychol Sci Soc Sci,"The journals of gerontology. Series B, Psychological sciences and social sciences"
Eur J Obstet Gynecol Reprod Biol,"European journal of obstetrics, gynecology, and reproductive biology"
Cancer Cell Int,Cancer cell international
Neurology,Neurology
Spat Spatiotemporal Epidemiol,Spatial and spatio-temporal epidemiology
Soc Sci Humanit Open,Social sciences & humanities open
Bone Res,Bone research
Sci China Life Sci,Science China. Life sciences
Mol Ther Nucleic Acids,Molecular therapy. Nucleic acids
Kidney Int,Kidney international
Skinmed,Skinmed
Cancer Biol Med,Cancer biology & medicine
Phys Med,Physica medica
Sichuan Da Xue Xue Bao Yi Xue Ban,Sichuan da xue xue bao. Yi xue ban
Acta Paediatr,Acta paediatrica
IEEE Trans Neural Syst Rehabil Eng,IEEE transactions on neural systems and rehabilitation engineering
Dev Cell,Developmental cell
Sci Total Environ,The Science of the total environment
BMC Biol,BMC biology
Acta Biochim Pol,Acta biochimica Polonica
J Biochem,Journal of biochemistry
Anat Sci Educ,Anatomical sciences education
J Mater Chem B,Journal of materials chemistry. B
Euro Surveill,Euro surveillance
J Emerg Nurs,Journal of emergency nursing
J Integr Neurosci,Journal of integrative neuroscience
Eur J Oral Sci,European journal of oral sciences
Interdiscip Sci,"Interdisciplinary sciences, computational life sciences"
IEEE Trans Med Imaging,IEEE transactions on medical imaging
Curr Oncol,Current oncology
Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,Sheng wu yi xue gong cheng xue za zhi
Health Expect,Health expectations
Ann Neurol,Annals of neurology
Sci Justice,Science & justice
Biol Pharm Bull,Biological & pharmaceutical bulletin
Neuropsychologia,Neuropsychologia
Sheng Wu Gong Cheng Xue Bao,Sheng wu gong cheng xue bao
Cancer Biother Radiopharm,Cancer biotherapy & radiopharmaceuticals
Transl Androl Urol,Translational andrology and urology
Cancer Epidemiol,Cancer epidemiology
Neoplasia,Neoplasia
J Cardiovasc Magn Reson,Journal of cardiovascular magnetic resonance
Clin Imaging,Clinical imaging
In Vivo,In vivo
Nat Med,Nature medicine
Shanghai Kou Qiang Yi Xue,Shanghai kou qiang yi xue
N Engl J Med,The New England journal of medicine
Ann Nucl Med,Annals of nuclear medicine
Hepatobiliary Pancreat Dis Int,Hepatobiliary & pancreatic diseases international
Schizophr Res,Schizophrenia research
Transl Oncol,Translational oncology
Molecules,Molecules
Biology (Basel),Biology
Front Pharmacol,Frontiers in pharmacology
Scand J Work Environ Health,"Scandinavian journal of work, environment & health"
Scand J Rheumatol,Scandinavian journal of rheumatology
Scand J Public Health,Scandinavian journal of public health
Scand J Gastroenterol,Scandinavian journal of gastroenterology
Med Biol Eng Comput,Medical & biological engineering & computing
Saudi J Gastroenterol,Saudi journal of gastroenterology
Sexes,Sexes
Occup Environ Med,Occupational and environmental medicine
Sensors (Basel),Sensors
