project_id,organ,article_id
115,blood,107
116,bone marrow,108
116,liver,108
116,not applicable,108
118,leaf,109
119,lung,110
120,embryo,111
121,spleen,112
122,root,113
123,brain,114
124,pancreas,115
125,brain,116
126,adipose tissue,117
127,spleen,118
128,skin of body,119
130,embryo,120
131,pancreas,121
132,blood,122
133,brain,123
134,hemolymph,124
135,bone marrow,125
136,bone marrow,126
137,kidney,127
137,gonad,127
140,bone marrow,128
141,brain,129
142,brain,130
143,embryo,131
144,pancreas,132
145,intestine,133
146,lung,134
147,liver,135
148,embryo,136
149,embryo,137
150,heart,138
151,pancreas,139
152,bone marrow,140
153,brain,141
154,skin of body,142
155,gill,143
155,digestive tract,143
155,kidney,143
155,spleen,143
155,thymus,143
156,blood,144
157,bone marrow,145
158,embryo,146
159,blood,147
159,umbilical cord,147
160,breast,148
161,breast,149
162,spleen,150
162,not applicable,150
162,heart,150
162,gonad,150
163,intestine,151
164,organism,152
165,skin of body,153
165,embryo,153
167,skin of body,154
168,brain,155
169,tonsil,156
170,pancreas,157
172,spleen,158
173,skin of body,159
173,specific cell,159
174,eye,160
174,embryo,160
175,breast,161
175,lymph node,161
176,lung,162
177,embryo,163
178,specific cell,164
180,umbilical cord,165
181,intestine,166
182,blood,167
183,bone marrow,168
184,tonsil,169
185,adipose tissue,170
187,skin of body,171
187,blood,171
189,specific cell,172
190,embryo,173
191,adipose tissue,174
193,brain,175
194,bone marrow,176
195,kidney,177
196,skin of body,178
197,specific cell,179
198,ganglionic eminence,180
199,embryo,181
200,blood,182
201,embryo,183
201,gonad,183
202,organism,184
202,embryo,184
203,abdomen,185
204,embryo,186
205,specific cell,187
206,lung,188
207,abdomen,189
209,organism,190
210,prostate gland,191
211,bone marrow,192
212,heart,193
213,specific cell,194
213,embryo,194
214,embryo,195
215,blood,196
216,kidney,197
217,blood,198
218,urethra,199
220,adipose tissue,200
221,embryo,201
222,embryo,202
223,embryo,203
224,mammary gland,204
224,not applicable,204
224,adipose tissue,204
225,eye,205
226,blood,206
227,blood,207
228,flower,208
229,gonad,209
230,specific cell,210
231,hemolymph,211
267,brain,212
268,embryo,213
269,brain,214
270,embryo,215
272,brain,217
273,brain,218
276,brain,219
276,control tissue,219
277,brain,220
278,lung,221
279,pancreas,222
280,brain,223
281,brain,224
282,pancreas,225
283,pancreas,226
284,intestine,227
285,brain,228
287,brain,229
287,blood,229
287,kidney,229
287,embryo,229
287,mixed tissue,229
289,liver,231
290,liver,232
291,liver,233
291,blood,233
292,lung,234
292,liver,234
292,heart,234
292,brain,234
292,kidney,234
292,respiratory airway,234
292,lymph node,234
292,spleen,234
292,trachea,234
293,liver,235
294,bile duct,236
294,blood,236
294,peritoneum,236
294,lymph node,236
294,liver,236
295,liver,237
296,specific cell,238
297,liver,239
297,blood,239
297,tonsil,239
298,liver,240
299,liver,241
299,blood,241
300,blood,242
300,spleen,242
300,liver,242
301,liver,243
302,embryo,244
302,penis,244
303,embryo,245
304,specific cell,246
305,embryo,247
305,liver,247
