id,sample_id,project_id,experiment_id,species_id,species_ids,individual_id,name,description,species,cell_number,root_organ,organ,root_organ_ontology,organ_ontology,organ_note,source_sample_id,library_strategy,library_layout,library_selection,technology_name,technology_company,release_date,sequencer_name,sequencer_company,section_thickness,staining_protocol,RIN,DV200,reference_assembly
181342,SAM000181341,289,294,9606,9606,52764,Patient 5 Total Liver Homogenate,,Homo sapiens,8444,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM3178786,RNA-Seq,PAIRED,cDNA,10x Chromium,10X Genomics,,HiSeq 2500,Illumina,,,,,
181343,SAM000181342,290,295,9606,9606,52765,cv1_1_S1,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384856,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181344,SAM000181343,290,295,9606,9606,52765,cv1_2_S7,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384857,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181345,SAM000181344,290,295,9606,9606,52766,cv2_1_S2,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384858,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181346,SAM000181345,290,295,9606,9606,52766,cv2_2_S8,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384859,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181347,SAM000181346,290,295,9606,9606,52767,cv3_1_S3,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384860,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181348,SAM000181347,290,295,9606,9606,52767,cv3_2_S9,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384861,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181349,SAM000181348,290,295,9606,9606,52768,cv4_1_S4,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384862,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181350,SAM000181349,290,295,9606,9606,52768,cv4_2_S10,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384863,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181351,SAM000181350,290,295,9606,9606,52769,cv5_1_S5,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384864,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181352,SAM000181351,290,295,9606,9606,52769,cv5_2_S11,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384865,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181353,SAM000181352,290,295,9606,9606,52770,cv6_1_S6,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384866,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181354,SAM000181353,290,295,9606,9606,52770,cv6_2_S12,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384867,RNA-Seq,PAIRED,cDNA,mcSCRB-seq,Wolfgang Enard's Lab,,NextSeq 550,Illumina,,,,,
181355,SAM000181354,290,295,9606,9606,52771,p1_Far_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384909,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181356,SAM000181355,290,295,9606,9606,52771,p1_Far_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384910,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181357,SAM000181356,290,295,9606,9606,52771,p1_Far_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384911,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181358,SAM000181357,290,295,9606,9606,52771,p1_Far_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384912,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181359,SAM000181358,290,295,9606,9606,52772,p1_Tumor_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384913,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181360,SAM000181359,290,295,9606,9606,52772,p1_Tumor_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384914,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181361,SAM000181360,290,295,9606,9606,52772,p1_Tumor_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384915,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181362,SAM000181361,290,295,9606,9606,52772,p1_Tumor_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384916,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181363,SAM000181362,290,295,9606,9606,52773,p2_Far_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384917,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181364,SAM000181363,290,295,9606,9606,52773,p2_Far_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384918,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181365,SAM000181364,290,295,9606,9606,52773,p2_Far_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384919,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181366,SAM000181365,290,295,9606,9606,52773,p2_Far_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384920,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181367,SAM000181366,290,295,9606,9606,52773,p2_Far_S5,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384921,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181368,SAM000181367,290,295,9606,9606,52774,p2_Tumor_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384922,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181369,SAM000181368,290,295,9606,9606,52774,p2_Tumor_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384923,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181370,SAM000181369,290,295,9606,9606,52774,p2_Tumor_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384924,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181371,SAM000181370,290,295,9606,9606,52774,p2_Tumor_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384925,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181372,SAM000181371,290,295,9606,9606,52774,p2_Tumor_S5,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384926,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181373,SAM000181372,290,295,9606,9606,52774,p2_Tumor_S6,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384927,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181374,SAM000181373,290,295,9606,9606,52774,p2_Tumor_S7,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384928,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181375,SAM000181374,290,295,9606,9606,52774,p2_Tumor_S8,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384929,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181376,SAM000181375,290,295,9606,9606,52774,p2_Tumor_S9,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384930,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181377,SAM000181376,290,295,9606,9606,52774,p2_Tumor_S10,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384931,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181378,SAM000181377,290,295,9606,9606,52775,p3_Far_S1,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384932,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181379,SAM000181378,290,295,9606,9606,52775,p3_Far_S2,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384933,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181380,SAM000181379,290,295,9606,9606,52775,p3_Far_S3,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384934,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181381,SAM000181380,290,295,9606,9606,52775,p3_Far_S4,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384935,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181382,SAM000181381,290,295,9606,9606,52775,p3_Far_S5,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384936,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181383,SAM000181382,290,295,9606,9606,52775,p3_Far_S6,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384937,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181384,SAM000181383,290,295,9606,9606,52775,p3_Far_S7,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384938,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181385,SAM000181384,290,295,9606,9606,52775,p3_Far_S8,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384939,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181386,SAM000181385,290,295,9606,9606,52775,p3_Far_S9,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384940,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181387,SAM000181386,290,295,9606,9606,52775,p3_Far_S10,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384941,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181388,SAM000181387,290,295,9606,9606,52775,p3_Far_S11,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384942,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181389,SAM000181388,290,295,9606,9606,52775,p3_Far_S12,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384943,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181390,SAM000181389,290,295,9606,9606,52775,p3_Far_S13,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384944,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181391,SAM000181390,290,295,9606,9606,52775,p3_Far_S14,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384945,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181392,SAM000181391,290,295,9606,9606,52775,p3_Far_S15,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384946,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181393,SAM000181392,290,295,9606,9606,52775,p3_Far_S16,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384947,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181394,SAM000181393,290,295,9606,9606,52776,p3_Tumor_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384948,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181395,SAM000181394,290,295,9606,9606,52776,p3_Tumor_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384949,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181396,SAM000181395,290,295,9606,9606,52776,p3_Tumor_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384950,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181397,SAM000181396,290,295,9606,9606,52776,p3_Tumor_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384951,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181398,SAM000181397,290,295,9606,9606,52776,p3_Tumor_S5,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384952,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181399,SAM000181398,290,295,9606,9606,52776,p3_Tumor_S6,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384953,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181400,SAM000181399,290,295,9606,9606,52776,p3_Tumor_S7,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384954,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181401,SAM000181400,290,295,9606,9606,52776,p3_Tumor_S8,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384955,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181402,SAM000181401,290,295,9606,9606,52777,p4_Far_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384956,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181403,SAM000181402,290,295,9606,9606,52777,p4_Far_S2,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384957,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181404,SAM000181403,290,295,9606,9606,52777,p4_Far_S3,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384958,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181405,SAM000181404,290,295,9606,9606,52777,p4_Far_S4,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384959,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181406,SAM000181405,290,295,9606,9606,52778,p4_Tumor_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384960,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181407,SAM000181406,290,295,9606,9606,52778,p4_Tumor_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384961,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181408,SAM000181407,290,295,9606,9606,52778,p4_Tumor_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384962,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181409,SAM000181408,290,295,9606,9606,52778,p4_Tumor_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384963,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181410,SAM000181409,290,295,9606,9606,52778,p4_Tumor_S5,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384964,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181411,SAM000181410,290,295,9606,9606,52778,p4_Tumor_S6,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384965,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181412,SAM000181411,290,295,9606,9606,52778,p4_Tumor_S7,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384966,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181413,SAM000181412,290,295,9606,9606,52779,p5_Far_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384967,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181414,SAM000181413,290,295,9606,9606,52779,p5_Far_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384968,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181415,SAM000181414,290,295,9606,9606,52779,p5_Far_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384969,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181416,SAM000181415,290,295,9606,9606,52779,p5_Far_S4,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384970,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181417,SAM000181416,290,295,9606,9606,52779,p5_Far_S5,,Homo sapiens,0,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384971,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181418,SAM000181417,290,295,9606,9606,52780,p5_Tumor_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384972,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181419,SAM000181418,290,295,9606,9606,52780,p5_Tumor_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384973,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181420,SAM000181419,290,295,9606,9606,52780,p5_Tumor_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384974,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181421,SAM000181420,290,295,9606,9606,52780,p5_Tumor_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384975,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181422,SAM000181421,290,295,9606,9606,52781,p6_Far_S1,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384976,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181423,SAM000181422,290,295,9606,9606,52781,p6_Far_S2,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384977,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181424,SAM000181423,290,295,9606,9606,52781,p6_Far_S3,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384978,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181425,SAM000181424,290,295,9606,9606,52781,p6_Far_S4,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384979,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181426,SAM000181425,290,295,9606,9606,52781,p6_Far_S5,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384980,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181427,SAM000181426,290,295,9606,9606,52781,p6_Far_S6,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384981,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
181428,SAM000181427,290,295,9606,9606,52781,p6_Far_S7,,Homo sapiens,6896,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM4384982,RNA-Seq,PAIRED,cDNA,MARS-seq,Illumina,,NextSeq 550,Illumina,,,,,
