id,design,protocol_description,project_id
304,"To investigate the functional effects of nizatidine on liver immune cells, we isolated CD45+ leucocytes from liver tissues of patients with advanced liver disease and HCC and treated the immune cell population with nizatidine or vehicle control. We then analyzed the effect of the compound by scRNA-Seq.",scRNA-Seq was performed by Single-Cell Discoveries B.V. using SORT-seq protocol.,299
305,We performed bulk RNA sequencing of DMSO differentiated Huh751 at different time points,"Abstract: Chronic liver disease and hepatocellular carcinoma (HCC) are life-threatening with limited treatment options. The lack of clinically relevant/tractable experimental models hampers therapeutic discovery. We developed a simple and robust human liver cell-based system modeling a clinical prognostic liver signature (PLS) predicting long-term liver disease progression toward HCC. Using the PLS as a readout, followed by validation in NASH-HCC animal models and patient-derived tumorspheroids, we identified nizatidine, a histamine receptor H2 (HRH2) blocker, for treatment of advanced liver disease and HCC chemoprevention. Perturbation studies combined with scRNA-Seq analyses of patient liver tissues uncovered HRH2+, CLEC5Ahigh, MARCOlow liver macrophages and hepatocytes as nizatidine targets. The PLS model combined with scRNA-Seq of patient tissues enables discovery of urgently needed targets and therapeutics for treatment of advanced liver disease and cancer prevention.",299
306,"Single-cell transcriptomic data are presented from 5 healthy livers, 5 cirrhotic livers and 4 PBMC samples from cirrhotic patients. We also present single-cell transcriptomic data on hepatic macrophages from healthy mice or mice following chronic carbon tetrachloride administration.","We profile the transcriptomes of over 100,000 human single cells, yielding molecular definitions for non-parenchymal cell types present in healthy and cirrhotic human liver. We uncover a novel scar-associated TREM2+CD9+ macrophage subpopulation, which expands in liver fibrosis, differentiates from circulating monocytes, has a corollary population in mouse liver fibrosis and is pro-fibrogenic. We also define novel ACKR1+ and PLVAP+ endothelial cells which expand in cirrhosis, are topographically scar-restricted and enhance leucocyte transmigration. Multi-lineage ligand-receptor modelling of interactions between the novel scar-associated macrophages, endothelial cells and PDGFRÎ±+ collagen-producing mesenchymal cells reveals intra-scar activity of several pro-fibrogenic pathways including TNFRSF12A, PDGFR and NOTCH signalling. Our work dissects unanticipated aspects of the cellular and molecular basis of human organ fibrosis at a single-cell level, and provides the conceptual framework required to discover rational therapeutic targets in liver cirrhosis.",299
307,"The liver plays a critical role in both immune defense and tolerance in the body. The liver-resident immune cells (LrICs) determine the immune properties, but the unique composition and heterogeneity of these cells are incompletely understood. Here, we dissect the diversity of LrICs by a comprehensive transcriptomic profiling using the unbiased single-cell RNA-sequencing (scRNA-seq). A total of 70, 706 of CD45+ immune cells from the paired liver perfusion, spleen and peripheral blood as references were profiled. We identified 33 discrete cell populations comprising 14 of T and NK cell, 7 of B cell, 4 of antibody-secreting cell (ASC) and 8 of myeloid cell subsets in human liver and donor-paired spleen and blood, and characterized their tissue distribution, gene expression and functional modules. Especially, four of CXCR6+ T and NK cell subsets were found to be present preferentially in the liver, where they manifested heterogeneity, distinct function and prominent homeostatic proliferation. We propose a universal category system of T and NK cells based on distinct chemokine receptors, confirmed subsequently by phenotype, transcriptional factors and functionality. We also identified adaptive changes by the spleen and liver-resident monocyte and macrophage populations. Finally, we give a global glimpse on B cell and ASC subsets in human spleen and liver. We, therefore, reveal the heterogeneity and functional diversity of LrICs in human. This study presents comprehensively the landscape of LrICs and will enable further study on their roles in various human diseases.",Using 10x genomics to measure CD45+ immune cells in healthy human liver and paired spleen and PBMCs from the same donors access to liver transplantation.,300
308,A total of twelve samples; two conditions (normal and tumor) matched from six patients.,"In tumors, CD4+ T regulatory cells (Tregs), a specialized subtype of cells indispensable for maintaining immune homeostasis and tolerance, inhibit anti-tumor immunity and response to immunotherapy. Selective targeting of the hyperactive Tregs promote tumor regression and synergizes with checkpoint blockade without severe, systemic autoimmunity, that is otherwise observed with non-specific Treg depletion. However, is poorly defined how Treg hyper-activation regulated in the tumor microenvironment. We found that mesenchyme homeobox-1 (MEOX1) a transcription factor with an important role in skeleton formation during development, is specifically overexpressed by intrahepatic cholangiocarcinoma infiltrating Treg compared to Treg cells present in the peritumoral tissue. Integration of transcriptomic data revealed that MEOX1 positively regulates several molecules involved in immunosuppression, including CTLA-4, ICOS and IL10, as well as a tumor Treg-specific signature associated with disease progression. Thus, interfering with the MEOX1-dependent molecular program may represent a novel immunotherapeutic approach capable to block immunosuppression in the tumor microenvironment without inducing autoimmunity in peripheral tissues.",301
309,"We sorted CD45+CD235a- hematopoietic cells using flow cytometry from human embryos at multiple Carnegie stages (CS11, CS12, CS13, CS15, CS17, CS20 and CS23) and sites (yolk sac, head, liver, blood, lung and skin), and then performed a modified single cell tagged reverse transcription (STRT) protocol.","Macrophages are the earliest emerging cells of the nascent immune system during embryonic development, and as innate immune cells constitutes an important first-line barrier against foreign organisms and pathogens. Rodent macrophages have been shown to infiltrate multiple organs at an early stage, developing symbiotically alongside these organs becoming tissue-resident macrophages (TRM) supporting tissue development and homeostasis. However, knowledge of the development and specialization of macrophages in the early human embryo is still limited. In order to study the spatiotemporal distribution and dynamic process of macrophage development in the early human embryo, we applied single-cell transcriptomic sequencing to generate a map of all CD45+CD235a- hematopoietic cells in human embryos of successive developmental stages from Carnegie stage (CS) 11 to 23. Here, we unravelled for the first time a map of macrophage heterogeneity across multiple anatomical sites and identified multiple macrophage subsets in the early human embryo, including various types of embryonic TRM (head, liver, lung and skin), and traced their developmental trajectories from yolk sac/embryonic liver-derived macrophages to their TRM specification in the head and liver based on core transcriptional factors. Altogether, our analyses provide a comprehensive characterization of the spatial and temporal dynamics of macrophage development in the early human embryo, and provides a reference for future study into human TRM function and embryonic development.",302
310,We performed single cell RNA-seq analysis for CS11 and CS15 human yolk sacs.,"Yolk sac is an important site for early embryonic hematopoiesis. However, our understanding of early hematopoietic development is still very limited. Single cell transcriptome sequencing provides us with a good research method. Here, we performed single cell RNA-seq analysis for Carnegie stage 11 (CS11) and Carnegie stage 15 (CS15) human yolk sacs.",302
311,"Here, we performed single-cell RNA sequencing (RNA-Seq) analysis of about 26,000 individual cells from four organs and tissues of CS14 to week 10 of gestation in human embryos/fetus, including thymus, AGM region, liver and blood","Human T lymphogenesis includes emergence, migration and thymus-seeding of T lymphoid precursor, followed by T-lymphocytes commitment in thymus, which are largely unknown. Here, we perform single-cell RNA sequencing using cells isolated from human hemogenic/hematopoietic sites such as aorto-gonad-mesonephros (AGM), liver, and thymic primordia spanning embryonic and fetal stages. The transcriptional atlas of thymic primordia illustrates the cellular trajectory of early T-lymphocyte development. Further, thymic seeding progenitors in liver and unique T lymphoid progenitors in AGM at CS14, are first unveiled. We also reveal the stepwise-specification of thymic epithelial cellsï¼Œand the potential cell-cell interactions between T-lymphocyte progenitors and stromal cells during thymus organogenesis. Our data provide new insights into T lymphogenesis, which prospectively directs the efficient regeneration of T- lymphocytes from pluripotent stem cells",303
312,"PolyA+ mRNA-seq was performed on naive, Th1, Th2, Th17, splenic Treg, and in vitro-induced Treg (iTreg) cells.",Samples were processed using the TruSeq RNA Sample Prep v2 kit (Illumina) according to the manufacturers instructions with an alteration to use KAPA Hifi polymerase for PCR amplification instead of the one supplied with the kit.,304
313,"To characterize the heterogeneity within endothelial, mesenchymal, and hepatic lineages through formation of the embryonic mouse liver bud, we have performed single-cell RNA sequencing on mouse embryos, spanning days 9.5 to 10.5 of development. This data set includes 12,470 cells with a mean detected gene number of 4,588.",Embryos were collected at noon of the experimentally-determined timepoint in ice-cold phosphate-buffered saline (PBS) under a Leica MZ6 dissecting scope.,305
326,Elaborating the tumor ecosystem of primary and relapsed hepatocellular carcinoma,"Liver cancer is one of the most malignant cancers in the world, and a relapse rate up to 60~70% after resection is a major factor contributing to a low 5-year survival rate (~15%). We generated more than 20,000 single-cell full-length transcriptomes profiles from 19 primary or relapsed hepatocellular carcinoma (HCC) patients, to determine the landscape of the tumor microenvironment in relapsed HCC, as well as a comparison with primary HCC. We discovered that relapsed lesions have a unique immune composition as compared to the primary tumor, with a lower abundance of Tregs, a higher ratio of dendritic cells (DCs), and more infiltrated CD8+ than CD4+ T cells. In addition, we found that CD8+ T cells in the primary and relapsed tumor have the same transition path, but were in different states, CD8+ T cells from relapsed tumor showing an innate lymphoid cell (ILC)-like state, with a high naÃ¯ve signal and low cytotoxic and exhausted signals. Further analysis also indicates that the abundance of distinct DC subtypes is associated with good prognosis in both primary and relapsed HCC. Also, FCN1+ monocytes are associated with poor prognosis only in relapsed HCC and not in primary HCC. Differential analysis between primary and relapsed tumor cells in gene expression level and interactions with other cells also reveals potential different immune evasion and tumor survival strategies in relapsed and primary HCC. Together these results provide a compressive understanding of the ecosystem in primary and relapsed HCC tumors, which could be used to guide future immune therapy strategies.",307
314,mouse multi-organ test with STOmics gene gxpression set-s1,,306
315,mouse multi-organ test with STOmics gene gxpression set-s1,,306
316,mouse multi-organ test with STOmics gene gxpression set-s1,,306
317,mouse multi-organ test with STOmics gene gxpression set-s1,,306
318,mouse multi-organ test with STOmics gene gxpression set-s1,,306
319,mouse multi-organ test with STOmics gene gxpression set-s1,,306
320,mouse multi-organ test with STOmics gene gxpression set-s1,,306
321,mouse multi-organ test with STOmics gene gxpression set-s1,,306
322,mouse multi-organ test with STOmics gene gxpression set-s1,,306
323,mouse multi-organ test with STOmics gene gxpression set-s1,,306
324,mouse multi-organ test with STOmics gene gxpression set-s1,,306
325,mouse multi-organ test with STOmics gene gxpression set-s1,,306
