celltype_name	celltype_id	name_type
AT2 cell	CTP0002149	name
Ventricle cardiomyocyte	CTP0000798	name
Adrenal gland inflammatory cell	CTP0002646	name
Pancreas exocrine cell	CTP0000725	name
Gastric chief cell	CTP0000484	name
mesothelial cell	CTP0000020	name
CL:0000077	CTP0000020	ontology
Mesothelial cell	CTP0000020	alias
chondrocyte	CTP0000021	name
CL:0000138	CTP0000021	ontology
Chondrocyte	CTP0000021	alias
oligodendrocyte	CTP0000022	name
CL:0000128	CTP0000022	ontology
Oligodendrocyte	CTP0000022	alias
thyroid follicular cell	CTP0000023	name
CL:0002258	CTP0000023	ontology
Thyroid follicular cell	CTP0000023	alias
Myocyte	CTP0001114	name
lymphocyte	CTP0000024	name
CL:0000542	CTP0000024	ontology
Lymphocyte	CTP0000024	alias
Myoloid cell	CTP0002248	name
B cell(Plasmocyte)	CTP0001371	name
Cd8+ T cell	CTP0001309	name
Fetal Proliferating cell	CTP0002013	name
cardiocyte	CTP0000025	name
CL:0002494	CTP0000025	ontology
Cardiocyte	CTP0000025	alias
Prostate epithelial cell	CTP0000968	name
Cd4+ T cell	CTP0003038	name
mesenchymal stem cell	CTP0000026	name
CL:0000134	CTP0000026	ontology
Mesenchymal stem cell	CTP0000026	alias
Mammary gland in lactation	CTP0003130	name
neuron	CTP0000027	name
CL:0000540	CTP0000027	ontology
Neuron	CTP0000027	alias
Intercalated cells of collecting duct	CTP0003271	name
Fetal kidney epithelial cell	CTP0003005	name
hepatocyte	CTP0000028	name
CL:0000182	CTP0000028	ontology
Hepatocyte	CTP0000028	alias
endocrine cell	CTP0000029	name
CL:0000163	CTP0000029	ontology
Endocrine cell	CTP0000029	alias
acinar cell	CTP0000030	name
CL:0000622	CTP0000030	ontology
Acinar cell	CTP0000030	alias
Female fetal gonad cell	CTP0002943	name
Secretory epithelial cell	CTP0001330	name
Alveolar type II cell	CTP0002339	name
Microglial	CTP0000285	name
Adipocyte	CTP0003390	name
small luteal cell	CTP0000031	name
CL:0000590	CTP0000031	ontology
Small luteal cell	CTP0000031	alias
cumulus cell	CTP0000032	name
CL:0000711	CTP0000032	ontology
Cumulus cell	CTP0000032	alias
Pre sertoli cell	CTP0002810	name
pancreatic endocrine cell	CTP0000033	name
CL:0008024	CTP0000033	ontology
Pancreatic endocrine cell	CTP0000033	alias
embryonic stem cell	CTP0000034	name
CL:0002322	CTP0000034	ontology
Embryonic stem cell	CTP0000034	alias
Fetal Premeiotic germ cell	CTP0000389	name
Fetal premeiotic germ cell	CTP0000389	name
Proximal tubule brush border cell	CTP0002823	name
Spermatogonia	CTP0002596	name
Spermicyte	CTP0001602	name
Testicular cell	CTP0001923	name
Invasive spongiotrophoblast	CTP0003333	name
naive thymus-derived CD4-positive, alpha-beta T cell	CTP0000035	name
CL:0000895	CTP0000035	ontology
naive thymus-derived CD4-positive, alpha-beta T cell	CTP0000035	name
plasmacytoid dendritic cell	CTP0000036	name
CL:0000784	CTP0000036	ontology
plasmacytoid dendritic cell	CTP0000036	name
CD14-positive monocyte	CTP0000037	name
CL:0001054	CTP0000037	ontology
CD14-positive monocyte	CTP0000037	name
helper T cell	CTP0000038	name
CL:0000912	CTP0000038	ontology
helper T cell	CTP0000038	name
erythroid lineage cell	CTP0000039	name
CL:0000764	CTP0000039	ontology
erythroid lineage cell	CTP0000039	name
mesenchymal stem cell of the bone marrow	CTP0000040	name
CL:0002540	CTP0000040	ontology
mesenchymal stem cell of the bone marrow	CTP0000040	name
megakaryocyte	CTP0000041	name
CL:0000556	CTP0000041	ontology
megakaryocyte	CTP0000041	name
pro-B cell	CTP0000042	name
CL:0000826	CTP0000042	ontology
pro-B cell	CTP0000042	name
lymphocyte	CTP0000024	name
CL:0000542	CTP0000024	ontology
lymphocyte	CTP0000024	name
plasma cell	CTP0000043	name
CL:0000786	CTP0000043	ontology
plasma cell	CTP0000043	name
CD14-positive, CD16-positive monocyte	CTP0000044	name
CL:0002397	CTP0000044	ontology
CD14-positive, CD16-positive monocyte	CTP0000044	name
memory B cell	CTP0000045	name
CL:0000787	CTP0000045	ontology
memory B cell	CTP0000045	name
conventional dendritic cell	CTP0000046	name
CL:0000990	CTP0000046	ontology
conventional dendritic cell	CTP0000046	name
cytotoxic T cell	CTP0000047	name
CL:0000910	CTP0000047	ontology
cytotoxic T cell	CTP0000047	name
naive B cell	CTP0000048	name
CL:0000788	CTP0000048	ontology
naive B cell	CTP0000048	name
CD8-positive, alpha-beta T cell	CTP0000049	name
CL:0000625	CTP0000049	ontology
CD8-positive, alpha-beta T cell	CTP0000049	name
natural killer cell	CTP0000050	name
CL:0000623	CTP0000050	ontology
natural killer cell	CTP0000050	name
bone marrow hematopoietic cell	CTP0000051	name
CL:1001610	CTP0000051	ontology
bone marrow hematopoietic cell	CTP0000051	name
precursor B cell	CTP0000052	name
CL:0000817	CTP0000052	ontology
precursor B cell	CTP0000052	name
T-helper cell/regulatory T cell	CTP0000837	name
naive T cell	CTP0000053	name
CL:0000898	CTP0000053	ontology
naive T cell	CTP0000053	name
T-helper 2 cell	CTP0000054	name
CL:0000546	CTP0000054	ontology
T-helper 2 cell	CTP0000054	name
T-helper 1 cell	CTP0000055	name
CL:0000545	CTP0000055	ontology
T-helper 1 cell	CTP0000055	name
CD4-positive, alpha-beta T cell	CTP0000056	name
CL:0000624	CTP0000056	ontology
CD4-positive, alpha-beta T cell	CTP0000056	name
dendritic cell	CTP0000011	name
CL:0000451	CTP0000011	ontology
dendritic cell	CTP0000011	name
naive T cell type 2	CTP0002334	name
CD4+ naive T cell	CTP0000794	name
hematopoietic stem cell	CTP0000057	name
CL:0000037	CTP0000057	ontology
hematopoietic stem cell	CTP0000057	name
CD14+ monocyte type 1	CTP0002439	name
cytotoxic T cell type 2	CTP0001743	name
naive CD8+ T cell	CTP0002148	name
erythroid cell type 1	CTP0002300	name
mesenchymal stem cell	CTP0000026	name
CL:0000134	CTP0000026	ontology
mesenchymal stem cell	CTP0000026	name
B cell T cell doublet	CTP0003440	name
CD16+ monocyte	CTP0002918	name
CD14+ monocyte type 2	CTP0001647	name
T-helper cell	CTP0003446	name
erythroid cell type 2	CTP0000763	name
cytotoxic T cell type 1	CTP0000431	name
CD4+ T cell	CTP0003038	name
naive T cell type 3	CTP0000769	name
natural killer cell type 1	CTP0003024	name
T-helper cell including regulatory T cell population	CTP0000753	name
natural killer cell type 2	CTP0002948	name
naive T-helper cell type 1	CTP0000306	name
naive T cell type 1	CTP0000333	name
naive T-helper cell type 2	CTP0003464	name
erythroid cell	CTP0002591	name
blood vessel endothelial cell	CTP0000058	name
CL:0000071	CTP0000058	ontology
blood vessel endothelial cell	CTP0000058	name
epithelial cell of stratum germinativum of esophagus	CTP0000059	name
CL:1000447	CTP0000059	ontology
epithelial cell of stratum germinativum of esophagus	CTP0000059	name
stromal cell	CTP0000005	name
CL:0000499	CTP0000005	ontology
stromal cell	CTP0000005	name
submucosal gland mucous cell	CTP0001813	name
immature B cell	CTP0000060	name
CL:0000816	CTP0000060	ontology
immature B cell	CTP0000060	name
lymphatic vessel	CTP0002714	name
submocosal esophageal gland	CTP0003262	name
follicular B cell	CTP0000061	name
CL:0000843	CTP0000061	ontology
follicular B cell	CTP0000061	name
monocyte	CTP0000010	name
CL:0000576	CTP0000010	ontology
monocyte	CTP0000010	name
T follicular helper cell	CTP0000062	name
CL:0002038	CTP0000062	ontology
T follicular helper cell	CTP0000062	name
activated CD8-positive, alpha-beta T cell	CTP0000063	name
CL:0000906	CTP0000063	ontology
activated CD8-positive, alpha-beta T cell	CTP0000063	name
innate lymphoid cell	CTP0000064	name
CL:0001065	CTP0000064	ontology
innate lymphoid cell	CTP0000064	name
CD4-positive, CD25-positive, alpha-beta regulatory T cell	CTP0000065	name
CL:0000792	CTP0000065	ontology
CD4-positive, CD25-positive, alpha-beta regulatory T cell	CTP0000065	name
plasmablast	CTP0000066	name
CL:0000980	CTP0000066	ontology
plasmablast	CTP0000066	name
CD8-alpha alpha positive, gamma-delta intraepithelial T cell	CTP0000067	name
CL:0000802	CTP0000067	ontology
CD8-alpha alpha positive, gamma-delta intraepithelial T cell	CTP0000067	name
monocyte/macrophage	CTP0002037	name
natural killer cell/CD8+ cytotoxic T cell	CTP0000765	name
macrophage	CTP0000008	name
CL:0000235	CTP0000008	ontology
macrophage	CTP0000008	name
epithelial cell of esophagus	CTP0000068	name
CL:0002252	CTP0000068	ontology
epithelial cell of esophagus	CTP0000068	name
IgM plasma cell	CTP0000069	name
CL:0000986	CTP0000069	ontology
IgM plasma cell	CTP0000069	name
IgG plasma cell	CTP0000070	name
CL:0000985	CTP0000070	ontology
IgG plasma cell	CTP0000070	name
platelet	CTP0000071	name
CL:0000233	CTP0000071	ontology
platelet	CTP0000071	name
mast cell	CTP0000013	name
CL:0000097	CTP0000013	ontology
mast cell	CTP0000013	name
type II pneumocyte	CTP0000072	name
CL:0002063	CTP0000072	ontology
type II pneumocyte	CTP0000072	name
type I pneumocyte	CTP0000073	name
CL:0002062	CTP0000073	ontology
type I pneumocyte	CTP0000073	name
lung ciliated cell	CTP0000074	name
CL:1000271	CTP0000074	ontology
lung ciliated cell	CTP0000074	name
muscle cell	CTP0000075	name
CL:0000187	CTP0000075	ontology
muscle cell	CTP0000075	name
respiratory system lymphatic vessel	CTP0001015	name
respiratory system blood vessel	CTP0000898	name
CD8-positive, alpha-beta cytotoxic T cell	CTP0000076	name
CL:0000794	CTP0000076	ontology
CD8-positive, alpha-beta cytotoxic T cell	CTP0000076	name
regulatory T cell	CTP0000077	name
CL:0000815	CTP0000077	ontology
regulatory T cell	CTP0000077	name
fibroblast of lung	CTP0000078	name
CL:0002553	CTP0000078	ontology
fibroblast of lung	CTP0000078	name
dendritic cell/dividing monocyte	CTP0000505	name
basal epithelial cell	CTP0000294	name
CD8+ T cell	CTP0001309	name
lymph vessel cell	CTP0003148	name
blood vessel cell	CTP0000684	name
CD27+ B cell	CTP0002550	name
suprabasal epithelial cell	CTP0003348	name
dividing epithelial cell	CTP0000912	name
upper epithelial cell	CTP0001363	name
stratified epithelial cell	CTP0000016	name
CL:0000079	CTP0000016	ontology
stratified epithelial cell	CTP0000016	name
CD27- B cell	CTP0001953	name
FCGR3A+ natural killer cell	CTP0001992	name
CD160+ natural killer cell	CTP0001254	name
hypermutation B cell	CTP0000813	name
activated dendritic cell	CTP0000788	name
dendritic cell type 2	CTP0002888	name
plasma IgG expressing cell	CTP0001837	name
B/T doublet	CTP0002625	name
naÃ¯ve CD4+ T cell	CTP0001975	name
dividing T cell	CTP0002984	name
dividing natural killer cell	CTP0002643	name
innate lymphoid cells	CTP0001629	name
MAIT-like CD8+ T cell	CTP0002194	name
gamma-delta CD8+ T cell	CTP0000284	name
regulatory CD4+ T cell	CTP0001786	name
plasma IgM expressing cell	CTP0000661	name
cytotoxic CD8+ T cell	CTP0000392	name
activated CD8+ T cell	CTP0002103	name
follicular helper CD4+ T cell	CTP0002034	name
mantle B cell	CTP0001258	name
dendritic cell type 1	CTP0003182	name
CD34+ progenitor	CTP0000518	name
Unknown	CTP0002455	name
submucosal gland duct cell	CTP0001984	name
fibroblast	CTP0000003	name
CL:0000057	CTP0000003	ontology
fibroblast	CTP0000003	name
alveolar epithelial cell type 2	CTP0003414	name
CD8+ cytotoxic T cell	CTP0002707	name
MARCOneg macrophage	CTP0002757	name
alveolar epithelial cell type 1	CTP0002682	name
MARCOpos macrophage	CTP0001483	name
ciliated cell	CTP0000079	name
CL:0000064	CTP0000079	ontology
ciliated cell	CTP0000079	name
dividing macrophage	CTP0000762	name
CD4+ conventional T cell	CTP0000723	name
decidual cell	CTP0000080	name
CL:2000002	CTP0000080	ontology
decidual cell	CTP0000080	name
granulocyte	CTP0000081	name
CL:0000094	CTP0000081	ontology
granulocyte	CTP0000081	name
decidual natural killer cell	CTP0002443	name
placental endothelial cell	CTP0003367	name
endometrial glandular epithelial cell	CTP0000465	name
uterine endothelial cell	CTP0003269	name
syncytiotrophoblast	CTP0001899	name
fetal fibroblast	CTP0002642	name
extravillous trophoblast	CTP0000082	name
CL:0008036	CTP0000082	ontology
extravillous trophoblast	CTP0000082	name
uterine perivascular cell	CTP0002004	name
cytotrophoblast	CTP0002644	name
Hofbauer cell	CTP0000083	name
CL:3000001	CTP0000083	ontology
Hofbauer cell	CTP0000083	name
endothelial cell of lymphatic vessel	CTP0000084	name
CL:0002138	CTP0000084	ontology
endothelial cell of lymphatic vessel	CTP0000084	name
decidual macrophage (dM3)	CTP0000906	name
placental extravillous trophoblast cell (EVT)	CTP0001900	name
Hofbauer cell (HB)	CTP0002469	name
fetal endothelial cell (Endo f)	CTP0000924	name
decidual macrophage (dM2)	CTP0001022	name
decidual macrophage (dM1)	CTP0000890	name
proliferating decidual natural killer cell (dNK p)	CTP0002263	name
maternal endothelial cell (Endo m)	CTP0001472	name
plasmacytoid dendritic cell (DC2)	CTP0002576	name
CD16-positive natural killer cell (NK CD16+)	CTP0000777	name
decidual natural killer cell (dNK2)	CTP0003274	name
conventional dendritic cell (DC1)	CTP0002156	name
CD16-negative natural killer cell (NK CD16-)	CTP0002848	name
innate lymphoid cell (ILC3)	CTP0001198	name
syncytiotrophoblast cell (SCT)	CTP0002073	name
decidual natural killer cell (dNK1)	CTP0001577	name
decidual natural killer cell (dNK3)	CTP0000633	name
decidual stromal cell (dS3)	CTP0003283	name
fetal fibroblast (fFB1)	CTP0001793	name
lymphatic endothelial cell (Endo l)	CTP0001350	name
decidual perivascular cell (dP1)	CTP0003449	name
decidual stromal cell (dS2)	CTP0002301	name
decidual perivascular cell (dP2)	CTP0000676	name
glandular epithelial cell (Epi2)	CTP0003197	name
villous cytotrophoblast (VCT)	CTP0001041	name
glandular epithelial cell (Epi1)	CTP0001508	name
decidual stromal cell (dS1)	CTP0002252	name
fetal fibroblast (fFB2)	CTP0003224	name
Pericytes	CTP0003253	name
ILC1	CTP0000085	name
CL:0001068	CTP0000085	ontology
ILC1	CTP0000085	name
IgA plasma cell	CTP0000086	name
CL:0000987	CTP0000086	ontology
IgA plasma cell	CTP0000086	name
activated fibroblast	CTP0002371	name
moDC	CTP0003415	name
cytotoxic CD8 Trm	CTP0001983	name
Trm	CTP0003153	name
CD8 Trm	CTP0003109	name
TFH-like	CTP0001179	name
Th17 Trm	CTP0003272	name
resident macrophage	CTP0001222	name
inflammatory macrophage	CTP0000087	name
CL:0000863	CTP0000087	ontology
inflammatory macrophage	CTP0000087	name
Tregs	CTP0000593	name
central memory T cell	CTP0000357	name
smooth muscle cell	CTP0000006	name
CL:0000192	CTP0000006	ontology
smooth muscle cell	CTP0000006	name
activated DC	CTP0003073	name
DC1	CTP0000658	name
CD36+ endothelial cell	CTP0000323	name
highly activated T cell	CTP0000367	name
pDC	CTP0001370	name
glial cell	CTP0000088	name
CL:0000125	CTP0000088	ontology
glial cell	CTP0000088	name
T (gd)	CTP0000697	name
ACKR1+ endothelial cell	CTP0000953	name
DC2	CTP0001686	name
ILC3	CTP0002293	name
T follicular helper cell like	CTP0003047	name
CD8-positive, alpha-beta memory T cell	CTP0000089	name
CL:0000909	CTP0000089	ontology
CD8-positive, alpha-beta memory T cell	CTP0000089	name
myeloid dendritic cell	CTP0000090	name
CL:0000782	CTP0000090	ontology
myeloid dendritic cell	CTP0000090	name
group 1 innate lymphoid cell	CTP0000091	name
CL:0001067	CTP0000091	ontology
group 1 innate lymphoid cell	CTP0000091	name
pericyte cell	CTP0000092	name
CL:0000669	CTP0000092	ontology
pericyte cell	CTP0000092	name
smooth muscle fiber of ileum	CTP0000093	name
CL:1000278	CTP0000093	ontology
smooth muscle fiber of ileum	CTP0000093	name
mature conventional dendritic cell	CTP0000094	name
CL:0000841	CTP0000094	ontology
mature conventional dendritic cell	CTP0000094	name
central memory CD8-positive, alpha-beta T cell	CTP0000095	name
CL:0000907	CTP0000095	ontology
central memory CD8-positive, alpha-beta T cell	CTP0000095	name
T-helper 17 cell	CTP0000096	name
CL:0000899	CTP0000096	ontology
T-helper 17 cell	CTP0000096	name
memory T cell	CTP0000097	name
CL:0000813	CTP0000097	ontology
memory T cell	CTP0000097	name
group 3 innate lymphoid cell	CTP0000098	name
CL:0001071	CTP0000098	ontology
group 3 innate lymphoid cell	CTP0000098	name
tissue-resident macrophage	CTP0000099	name
CL:0000864	CTP0000099	ontology
tissue-resident macrophage	CTP0000099	name
gut endothelial cell	CTP0000100	name
CL:0000131	CTP0000100	ontology
gut endothelial cell	CTP0000100	name
gamma-delta T cell	CTP0000101	name
CL:0000798	CTP0000101	ontology
gamma-delta T cell	CTP0000101	name
fibroblasts	CTP0002926	name
unassigned resting T cell	CTP0000747	name
resting CD8+ T cell	CTP0002697	name
resting CD4+ T cell	CTP0002872	name
unassigned activated T call	CTP0000382	name
activated CD4+ T cell	CTP0002459	name
activated CD4-positive, alpha-beta T cell	CTP0000102	name
CL:0000896	CTP0000102	ontology
activated CD4-positive, alpha-beta T cell	CTP0000102	name
ionocyte	CTP0000103	name
CL:0005006	CTP0000103	ontology
ionocyte	CTP0000103	name
nasal mucosa goblet cell	CTP0000104	name
CL:0002480	CTP0000104	ontology
nasal mucosa goblet cell	CTP0000104	name
olfactory bulb tufted cell	CTP0000105	name
CL:1001503	CTP0000105	ontology
olfactory bulb tufted cell	CTP0000105	name
olfactory epithelial cell	CTP0000106	name
CL:0002167	CTP0000106	ontology
olfactory epithelial cell	CTP0000106	name
oligodendrocyte	CTP0000022	name
CL:0000128	CTP0000022	ontology
oligodendrocyte	CTP0000022	name
brush cell	CTP0000107	name
CL:0002204	CTP0000107	ontology
brush cell	CTP0000107	name
interneuron	CTP0000108	name
CL:0000099	CTP0000108	ontology
interneuron	CTP0000108	name
ciliated epithelial cell	CTP0000109	name
CL:0000067	CTP0000109	ontology
ciliated epithelial cell	CTP0000109	name
neutrophil	CTP0000012	name
CL:0000775	CTP0000012	ontology
neutrophil	CTP0000012	name
olfactory receptor cell	CTP0000110	name
CL:0000207	CTP0000110	ontology
olfactory receptor cell	CTP0000110	name
neuron	CTP0000027	name
CL:0000540	CTP0000027	ontology
neuron	CTP0000027	name
basal cell of olfactory epithelium	CTP0000111	name
CL:0002169	CTP0000111	ontology
basal cell of olfactory epithelium	CTP0000111	name
nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa	CTP0000112	name
CL:2000094	CTP0000112	ontology
nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa	CTP0000112	name
type-6 epithelial cell of thymus	CTP0000113	name
CL:0002295	CTP0000113	ontology
type-6 epithelial cell of thymus	CTP0000113	name
mitral tufted cell	CTP0001116	name
fibroblast 1	CTP0001974	name
blood endothelial cell	CTP0001059	name
Obp2a+ Obp2b+ Obp1a+ Obp1b+ cell 1	CTP0000479	name
Obp2a+ Obp2b+ Obp1a+ Obp1b+ cell 2	CTP0002287	name
Gria2+ neuron	CTP0000275	name
fibroblast 2	CTP0002766	name
tuft cell	CTP0002616	name
Muc5b+ Bpifa1+ Bpifb2+ goblet cell	CTP0002715	name
Bpif9ba+ Bpifb9b+ Bpifb5+ cell	CTP0001057	name
fibroblast 3	CTP0003231	name
vomeronasal receptor expressing neuron	CTP0000981	name
Muc5b+ Scgb1c1+ goblet cell	CTP0001488	name
Cck+ epithelial cell	CTP0001111	name
Arx+ neuron	CTP0000496	name
Cyp2g1+ olfactory epithelial cell	CTP0003141	name
myofibroblast or pericyte	CTP0001184	name
olfactory epithelial gland cell	CTP0001469	name
olfactory sensory neuron	CTP0001771	name
Muc2+ Cyp2g1+ olfactory epithelial cell	CTP0002614	name
Npy+ neuron	CTP0001180	name
Cxcl17+ Ccl9+ epithelial cell	CTP0001995	name
immature rostral migratory neuron	CTP0001069	name
immature olfactory sensory neuron	CTP0003339	name
external plexiform layer interneuron	CTP0003335	name
myofibroblast	CTP0000521	name
endothelial tip cell	CTP0000114	name
CL:0000704	CTP0000114	ontology
endothelial tip cell	CTP0000114	name
pericyte	CTP0001416	name
epithelial cell of large intestine	CTP0000115	name
CL:0002253	CTP0000115	ontology
epithelial cell of large intestine	CTP0000115	name
myeloid cell	CTP0000015	name
CL:0000763	CTP0000015	ontology
myeloid cell	CTP0000015	name
goblet cell	CTP0000018	name
CL:0000160	CTP0000018	ontology
goblet cell	CTP0000018	name
consensus molecular subtype 3 epithelial cell	CTP0002770	name
smooth muscle cell of large intestine	CTP0000116	name
CL:1000279	CTP0000116	ontology
smooth muscle cell of large intestine	CTP0000116	name
consensus molecular subtype 1 epithelial cell	CTP0002009	name
endothelial stalk cell	CTP0000117	name
CL:0002671	CTP0000117	ontology
endothelial stalk cell	CTP0000117	name
enterocyte of epithelium of large intestine	CTP0000118	name
CL:0002071	CTP0000118	ontology
enterocyte of epithelium of large intestine	CTP0000118	name
consensus molecular subtype 2 epithelial cell	CTP0001436	name
brush cell of epithelium proper of large intestine	CTP0000119	name
CL:0002203	CTP0000119	ontology
brush cell of epithelium proper of large intestine	CTP0000119	name
unspecified plasma cell	CTP0000434	name
lymphatic endothelial cell	CTP0000307	name
unknown myeloid cell	CTP0001889	name
stalk-like endothelial cell	CTP0003366	name
IgA+ plasma cell	CTP0002345	name
stromal 1	CTP0000863	name
CD19+CD20+ B cell	CTP0003021	name
mature enterocyte	CTP0003232	name
BEST4+ enterocyte	CTP0001036	name
stem-like/transit amplifying epithelial cell	CTP0003454	name
stromal 2	CTP0000343	name
stromal 3	CTP0002119	name
intermediate epithelial cell	CTP0002651	name
enteric glial cell	CTP0002316	name
tip-like endothelial cell	CTP0000400	name
gamma delta T cell	CTP0001809	name
pro-inflammatory myeloid cell	CTP0000985	name
anti-inflammatory myeloid cell	CTP0001600	name
proliferating myeloid cell	CTP0002683	name
SPP1+B myeloid cell	CTP0000426	name
unknown T cell	CTP0003063	name
consensus molecular subtype 1	CTP0000402	name
unknown	CTP0002455	name
epithelial cell	CTP0000009	name
CL:0000066	CTP0000009	ontology
epithelial cell	CTP0000009	name
SPP1+A myeloid cell	CTP0003289	name
consensus molecular subtype 3	CTP0001310	name
consensus molecular subtype 2	CTP0003462	name
hematopoietic precursor cell	CTP0000120	name
CL:0008001	CTP0000120	ontology
hematopoietic precursor cell	CTP0000120	name
promonocyte	CTP0000121	name
CL:0000559	CTP0000121	ontology
promonocyte	CTP0000121	name
Fraction A pre-pro B cell	CTP0000122	name
CL:0002045	CTP0000122	ontology
Fraction A pre-pro B cell	CTP0000122	name
early pro-B cell	CTP0000123	name
CL:0002046	CTP0000123	ontology
early pro-B cell	CTP0000123	name
basophil	CTP0000124	name
CL:0000767	CTP0000124	ontology
basophil	CTP0000124	name
late pro-B cell	CTP0000125	name
CL:0002048	CTP0000125	ontology
late pro-B cell	CTP0000125	name
erythroblast	CTP0000126	name
CL:0000765	CTP0000126	ontology
erythroblast	CTP0000126	name
granulocytopoietic cell	CTP0000127	name
CL:0002191	CTP0000127	ontology
granulocytopoietic cell	CTP0000127	name
lung endothelial cell	CTP0000128	name
CL:1001567	CTP0000128	ontology
lung endothelial cell	CTP0000128	name
proerythroblast	CTP0000129	name
CL:0000547	CTP0000129	ontology
proerythroblast	CTP0000129	name
Langerhans cell	CTP0000130	name
CL:0000453	CTP0000130	ontology
Langerhans cell	CTP0000130	name
basal cell of epidermis	CTP0000131	name
CL:0002187	CTP0000131	ontology
basal cell of epidermis	CTP0000131	name
keratinocyte	CTP0000132	name
CL:0000312	CTP0000132	ontology
keratinocyte	CTP0000132	name
non-classical monocyte	CTP0000133	name
CL:0000875	CTP0000133	ontology
non-classical monocyte	CTP0000133	name
leukocyte	CTP0000134	name
CL:0000738	CTP0000134	ontology
leukocyte	CTP0000134	name
alveolar macrophage	CTP0000135	name
CL:0000583	CTP0000135	ontology
alveolar macrophage	CTP0000135	name
classical monocyte	CTP0000136	name
CL:0000860	CTP0000136	ontology
classical monocyte	CTP0000136	name
ciliated columnar cell of tracheobronchial tree	CTP0000137	name
CL:0002145	CTP0000137	ontology
ciliated columnar cell of tracheobronchial tree	CTP0000137	name
immature T cell	CTP0000138	name
CL:0002420	CTP0000138	ontology
immature T cell	CTP0000138	name
kidney cell	CTP0000139	name
CL:1000497	CTP0000139	ontology
kidney cell	CTP0000139	name
mesangial cell	CTP0000140	name
CL:0000650	CTP0000140	ontology
mesangial cell	CTP0000140	name
kidney collecting duct epithelial cell	CTP0000141	name
CL:1000454	CTP0000141	ontology
kidney collecting duct epithelial cell	CTP0000141	name
