celltype_id	celltype_standard	celltype_ontology	status	def
CTP0000017	astrocyte	CL:0000127	standard	" ""A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury."" [GOC:dsd, GOC:tfm, http://en.wikipedia.org/wiki/Astrocyte, MESH:A08.637.200, MESH:D001253, PMID:11746784, PMID:12162730, PMID:12898703, PMID:20942978]"
CTP0000018	goblet cell	CL:0000160	standard	" ""A cell of the epithelial lining that produce and secrete mucins."" [MESH:A03.492.411.369.320]"
CTP0000019	enterocyte	CL:0000584	standard	" ""An epithelial cell that has its apical plasma membrane folded into microvilli to provide ample surface for the absorption of nutrients from the intestinal lumen."" [SANBI:mhl]"
CTP0000020	mesothelial cell	CL:0000077	standard	" ""A flattened epithelial cell of mesenchymal origin that lines the serous cavity."" [GOC:tfm, ISBN:0721662544]"
CTP0000021	chondrocyte	CL:0000138	standard	" ""Skeletogenic cell that is terminally differentiated, secretes an avascular, GAG-rich matrix, is embedded in cartilage tissue matrix, retains the ability to divide, and develops from a chondroblast cell."" [GO_REF:0000034, MESH:A11.329.171]"
CTP0000022	oligodendrocyte	CL:0000128	standard	" ""A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system."" [http://en.wikipedia.org/wiki/Oligodendrocyte, MESH:A08.637.600, MESH:D009836]"
CTP0000023	thyroid follicular cell	CL:0002258	standard	" ""A cell type that varies from squamous to columnar, depending on their activity with microvillus directed luminally. This cell produces and secretes thyroid hormones."" [GOC:tfm, ISBN:0517223651]"
CTP0000024	lymphocyte	CL:0000542	standard	" ""A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [GOC:add, ISBN:0683073696, ISBN:0781735149]"
CTP0000025	cardiocyte	CL:0002494	standard	" ""A cell located in the heart, including both muscle and non muscle cells."" [GOC:tfm]"
CTP0000026	mesenchymal stem cell	CL:0000134	standard	" ""A connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. In humans, this cell type is CD73-positive, CD90-positive, CD105-positive, CD45-negative, CD34-negative, and MHCII-negative. They may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. Originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs."" [FB:ma, GOC:dsd, http://en.wikipedia.org/wiki/Mesenchymal_stem_cell, http://www.copewithcytokines.de/cope.cgi?key=mesenchymal%20stem%20cells, PMCID:PMC2613570, PMID:10102814j, PMID:16923606, PMID:17986482, PMID:19960544]"
CTP0000027	neuron	CL:0000540	standard	" ""The basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system."" [http://en.wikipedia.org/wiki/Neuron, MESH:A08.663, MESH:D009474]"
CTP0000028	hepatocyte	CL:0000182	standard	" ""The main structural component of the liver. They are specialized epithelial cells that are organized into interconnected plates called lobules. Majority of cell population of liver, polygonal in shape, arranged in plates or trabeculae between sinusoids; may have single nucleus or binucleated."" [GOC:tfm, http://en.wikipedia.org/wiki/Hepatocyte, ISBN:0412046911, MESH:A11.436.348, PMID:19717280]"
CTP0000029	endocrine cell	CL:0000163	standard	" ""A cell of an endocrine gland, ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions."" [MESH:A06.407]"
CTP0000030	acinar cell	CL:0000622	standard	" ""A secretory cell that is grouped together with other cells of the same type to form grape shaped clusters known as acini (singular acinus)."" [GOC:tfm, http://www.copewithcytokines.de]"
CTP0000031	small luteal cell	CL:0000590	standard	" ""A progesterone secreting cell in the corpus luteum that develops from theca cells."" [GOC:tfm, MESH:A05.360.319.114.630.278.400]"
CTP0000032	cumulus cell	CL:0000711	standard	" ""Cumulus cell is a specialized granulosa cell that surrounds and nourishes the oocyte. This cell-type surrounds the fully-grown oocyte to form a cumulus-oocyte complex (abbr. COC). The terms cumulus oophorus cells, cumulus granulosa cells, cumulus oophorous granulosa cells, granulosa-cumulus cells are used to make a distinction between this cell and the other functionally different subpopulation of granulosa cells at the wall of the Graafian follicle."" [GOC:tfm, http://www.copewithcytokines.org/cope.cgi?key=cumulus%20cells]"
CTP0000033	pancreatic endocrine cell	CL:0008024	standard	" ""An endocrine cell that is part of the pancreas."" [GOC:dos]"
CTP0000034	embryonic stem cell	CL:0002322	standard	" ""A stem cell of embryonic origin."" [GOC:dsd, GOC:tfm, ISBN:068340007X, PMID:18179856]"
CTP0000035	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	standard	" ""An antigen inexperienced CD4-positive, alpha-beta T cell with the phenotype CCR7-positive, CD127-positive and CD62L-positive. This cell type develops in the thymus. This cell type is also described as being CD25-negative, CD62L-high, and CD44-low."" [GO_REF:0000031, GOC:add, GOC:tfm, http://www.immgen.org/index_content.html, PMID:19100699, PMID:22343568]"
CTP0000036	plasmacytoid dendritic cell	CL:0000784	standard	" ""A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection."" [GOC:add, GOC:dsd, PMCID:PMC2118448, PMCID:PMC538703, PMID:15549123, PMID:17332250, PMID:17850486, PMID:20304825]"
CTP0000037	CD14-positive monocyte	CL:0001054	standard	" ""A monocyte that expresses CD14 and is negative for the lineage markers CD3, CD19, and CD20."" [GOC:add, PMID:22343568]"
CTP0000038	helper T cell	CL:0000912	standard	" ""A effector T cell that provides help in the form of secreted cytokines to other immune cells."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:18395547]"
CTP0000039	erythroid lineage cell	CL:0000764	standard	" ""A immature or mature cell in the lineage leading to and including erythrocytes."" [GOC:add, GOC:tfm]"
CTP0000040	mesenchymal stem cell of the bone marrow	CL:0002540	standard	" ""A mesenchymal stem cell that is part of the bone marrow."" [GOC:tfm]"
CTP0000041	megakaryocyte	CL:0000556	standard	" ""A giant cell 50 to 100 micron in diameter, with a greatly lobulated nucleus, found in the bone marrow; mature blood platelets are released from its cytoplasm."" [http://en.wikipedia.org/wiki/Megakaryocyte, ISBN:0721601464, MESH:D008533]"
CTP0000042	pro-B cell	CL:0000826	standard	" ""A progenitor cell of the B cell lineage, with some lineage specific activity such as early stages of recombination of B cell receptor genes, but not yet fully committed to the B cell lineage until the expression of PAX5 occurs."" [GOC:add, GOC:dsd, ISBN:0781735149, PMID:12633665, PMID:16551251, PMID:18432934]"
CTP0000043	plasma cell	CL:0000786	standard	" ""A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin."" [GO_REF:0000031, GOC:add, GOC:dsd, http://en.wikipedia.org/wiki/Plasma_cell, ISBN:0721601464, ISBN:0781735149, PMID:19447676, PMID:20081059, PMID:20839338, PMID:20951740]"
CTP0000044	CD14-positive, CD16-positive monocyte	CL:0002397	standard	" ""A CD14-positive monocyte that is also CD16-positive and CCR2-negative."" [GOC:tfm, PMID:20628149, PMID:21937707, PMID:22343568]"
CTP0000045	memory B cell	CL:0000787	standard	" ""A memory B cell is a mature B cell that is long-lived, readily activated upon re-encounter of its antigenic determinant, and has been selected for expression of higher affinity immunoglobulin. This cell type has the phenotype CD19-positive, CD20-positive, MHC Class II-positive, and CD138-negative."" [GO_REF:0000031, GOC:add, GOC:dsd, GOC:rhs, http://en.wikipedia.org/wiki/Memory_B_cell, ISBN:0781735149, PMID:20081059, PMID:20839338]"
CTP0000046	conventional dendritic cell	CL:0000990	standard	" ""Conventional dendritic cell is a dendritic cell that is CD11c-high."" [GO_REF:0000031, GOC:amm, PMID:17850486]"
CTP0000047	cytotoxic T cell	CL:0000910	standard	" ""A mature T cell that differentiated and acquired cytotoxic function with the phenotype perforin-positive and granzyme-B positive."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:18395547]"
CTP0000048	naive B cell	CL:0000788	standard	" ""A naive B cell is a mature B cell that has the phenotype surface IgD-positive, surface IgM-positive, CD20-positive, CD27-negative and that has not yet been activated by antigen in the periphery."" [GO_REF:0000031, GOC:add, GOC:dsd, GOC:rhs, ISBN:0781765196, PMID:19447676, PMID:20081059, PMID:20839338, PMID:20933013, PMID:22343568]"
CTP0000049	CD8-positive, alpha-beta T cell	CL:0000625	standard	" ""A T cell expressing an alpha-beta T cell receptor and the CD8 coreceptor."" [GOC:add, GOC:tfm, ISBN:0781735149]"
CTP0000050	natural killer cell	CL:0000623	standard	" ""A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells."" [GOC:add, ISBN:0781735149, PMID:15771571]"
CTP0000051	bone marrow hematopoietic cell	CL:1001610	standard	" ""Hematopoietic cells resident in the bone marrow. Include: hematopoietic stem cells (lymphoid stem cells and myeloid stem cells) and the precursor cells for thrombocytes, erythrocytes, basophils, neutrophils, eosinophils, monocytes and lymphocytes."" [NPX:PDR]"
CTP0000052	precursor B cell	CL:0000817	standard	" ""A precursor B cell is a B cell with the phenotype CD10-positive."" [GO_REF:0000031, GOC:rhs, GOC:tfm]"
CTP0000053	naive T cell	CL:0000898	standard	" ""Mature T cell not yet exposed to antigen with the phenotype CCR7-positive, CD45RA-positive, and CD127-positive. This cell type is also described as being CD25-negative, CD62L-high and CD44-low."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:19100699]"
CTP0000054	T-helper 2 cell	CL:0000546	standard	" ""A CD4-positive, alpha-beta T cell that has the phenotype GATA-3-positive, CXCR3-negative, CCR6-negative, and is capable of producing interleukin-4."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:19375293, PMID:20103781, PMID:22343568]"
CTP0000055	T-helper 1 cell	CL:0000545	standard	" ""A CD4-positive, alpha-beta T cell that has the phenotype T-bet-positive, CXCR3-positive, CCR6-negative, and is capable of producing interferon-gamma."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:19375293, PMID:20303875, PMID:22343568]"
CTP0000056	CD4-positive, alpha-beta T cell	CL:0000624	standard	" ""A mature alpha-beta T cell that expresses an alpha-beta T cell receptor and the CD4 coreceptor."" [GOC:add, ISBN:0781735149]"
CTP0000057	hematopoietic stem cell	CL:0000037	standard	" ""A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119."" [GOC:add, GOC:dsd, GOC:tfm, http://en.wikipedia.org/wiki/Hematopoietic_stem_cell, PMID:19022770]"
CTP0000058	blood vessel endothelial cell	CL:0000071	standard	" ""An endothelial cell that lines the vasculature."" [GOC:tfm]"
CTP0000059	epithelial cell of stratum germinativum of esophagus	CL:1000447	standard	" ""A basal cell that is part of the epithelium of esophagus."" [GOC:tfm]"
CTP0000060	immature B cell	CL:0000816	standard	" ""An immature B cell is a B cell that has the phenotype surface IgM-positive and surface IgD-negative, and have not undergone class immunoglobulin class switching or peripheral encounter with antigen and activation."" [GO_REF:0000031, GOC:add, GOC:dsd, GOC:rhs, GOC:tfm, ISBN:0781735149, PMID:20081059, PMID:20839338]"
CTP0000061	follicular B cell	CL:0000843	standard	" ""A resting mature B cell that has the phenotype IgM-positive, IgD-positive, CD23-positive and CD21-positive, and found in the B cell follicles of the white pulp of the spleen or the corticol areas of the peripheral lymph nodes. This cell type is also described as being CD19-positive, B220-positive, AA4-negative, CD43-negative, and CD5-negative."" [GOC:add, GOC:dsd, http://en.wikipedia.org/wiki/Follicular_B_Cells, ISBN:0781735149, PMCID:PMC2193793, PMID:20933013]"
CTP0000062	T follicular helper cell	CL:0002038	standard	" ""A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production."" [GOC:tfm, PMID:19855402, PMID:20107805, PMID:22043829]"
CTP0000063	activated CD8-positive, alpha-beta T cell	CL:0000906	standard	" ""A CD8-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, CD25-positive, and CCR7-negative."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm]"
CTP0000064	innate lymphoid cell	CL:0001065	standard	" ""A lymphocyte that lacks characteristic T cell, B cell, myeloid cell, and dendritic cell markers, that functions as part of the innate immune response to produce cytokines and other effector responses."" [GOC:add, GOC:dsd, PMID:23292121, PMID:23348417]"
CTP0000065	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000792	standard	" ""A CD4-positive, CD25-positive, alpha-beta T cell that regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release."" [GOC:add, GOC:tfm, ISBN:0781735149, PMID:19464985, PMID:22343568]"
CTP0000066	plasmablast	CL:0000980	standard	" ""An activated mature (naive or memory) B cell that is secreting immunoglobulin, typified by being CD27-positive, CD38-positive, CD138-negative."" [GO_REF:0000031, GOC:dsd, GOC:msz, GOC:tfm, PMCID:PMC2673126]"
CTP0000067	CD8-alpha alpha positive, gamma-delta intraepithelial T cell	CL:0000802	standard	" ""A gamma-delta intraepithelial T cell that has the phenotype CD8-alpha alpha-positive."" [GOC:add, GOC:tfm, ISBN:0781735149]"
CTP0000068	epithelial cell of esophagus	CL:0002252	standard	" ""An epithelial cell of the esophagus."" [GOC:tfm]"
CTP0000069	IgM plasma cell	CL:0000986	standard	" ""A fully differentiated plasma cell that secretes IgM."" [GO_REF:0000031, GOC:msz, ISBN:781735149]"
CTP0000070	IgG plasma cell	CL:0000985	standard	" ""A fully differentiated plasma cell that secretes IgG."" [GO_REF:0000031, GOC:msz, ISBN:781735149]"
CTP0000071	platelet	CL:0000233	standard	" ""A non-nucleated disk-shaped cell formed by extrusion from megakaryocytes, found in the blood of all mammals, and mainly involved in blood coagulation."" [GOC:add, GOC:dsd, GOC:tfm, http://en.wikipedia.org/wiki/Platelet, MESH:A11.118.188, MESH:D001792, PMID:11110672, PMID:16987572, PMID:17204662, PMID:17479180, PMID:20414831]"
CTP0000072	type II pneumocyte	CL:0002063	standard	" ""A type II pneumocyte is a pneumocyte that modulates the fluid surrounding the alveolar epithelium by secreting and recycling surfactants. This cell type also contributes to tissue repair and can differentiate after injury into a type I pneumocyte. Thicker than squamous alveolar cells, have a rounded apical surface that projects above the level of surrounding epithelium. The free surface is covered by short microvilli."" [GOC:tfm, http://www.copewithcytokines.de, ISBN:0412046911, PMID:8540632]"
CTP0000073	type I pneumocyte	CL:0002062	standard	" ""A type I pneumocyte is a flattened, branched pneumocyte that covers more than 98% of the alveolar surface. This large cell has thin (50-100 nm) cytoplasmic extensions to form the air-blood barrier essential for normal gas exchange."" [GOC:tfm, http://www.copewithcytokines.de, PMID:20054144]"
CTP0000074	lung ciliated cell	CL:1000271	standard	
CTP0000075	muscle cell	CL:0000187	standard	" ""A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns."" [MESH:A11.620]"
CTP0000076	CD8-positive, alpha-beta cytotoxic T cell	CL:0000794	standard	" ""A CD8-positive, alpha-beta T cell that is capable of killing target cells in an antigen specific manner with the phenotype perforin-positive and granzyme B-positive."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, ISBN:0781735149]"
CTP0000077	regulatory T cell	CL:0000815	standard	" ""A T cell which regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release."" [GO_REF:0000031, GOC:add]"
CTP0000078	fibroblast of lung	CL:0002553	standard	" ""A fibroblast that is part of lung."" [GOC:tfm]"
CTP0000079	ciliated cell	CL:0000064	standard	" ""A cell that has a filiform extrusion of the cell surface."" [GOC:tfm]"
CTP0000080	decidual cell	CL:2000002	standard	" ""A specialized, enlarged, connective tissue cell of the decidua with enlarged nucleus, dense membrane‐bound secretory granules and cytoplasmic accumulation of glycogen and lipid droplets. These cells develop by the transformation of endometrial stromal cells during decidualization."" [BTO:0002770, NCIT:C32429, PMID:30013421, PMID:30429548, Wiki:Decidual_cells&oldid=937509751, Wiki:Decidualization&oldid=908981933]"
CTP0000081	granulocyte	CL:0000094	standard	" ""A leukocyte with abundant granules in the cytoplasm."" [GOC:amm, GOC:tfm, http://en.wikipedia.org/wiki/Granulocyte, MESH:A11.118.637.415, MESH:D006098]"
CTP0000082	extravillous trophoblast	CL:0008036	standard	" ""A trophoblast cell that is not part of a placental villous."" [PMID:31049600]"
CTP0000083	Hofbauer cell	CL:3000001	standard	" ""Oval eosinophilic histiocytes with granules and vacuoles found in placenta, which are of mesenchymal origin, in mesoderm of the chorionic villus, particularly numerous in early pregnancy."" [GOC:CellBLAST, PMID:30429548]"
CTP0000084	endothelial cell of lymphatic vessel	CL:0002138	standard	" ""A endothelial cell of a lymphatic vessel. The border of the oak leaf-shaped endothelial cell of initial lymphatics are joined by specialized buttons. The discontinuous feature of buttons distinguishes them from zippers in collecting lymphatics, but both types of junctions are composed of proteins typical of adherens junctions and tight junctions found in the endothelium of blood vessels. Buttons seal the sides of flaps of the oak leaf-shaped endothelial cell, leaving open the tips of flaps as routes for fluid entry without disassembly and reformation of intercellular junctions."" [GOC:tfm, PMID:17846148]"
CTP0000085	ILC1	CL:0001068	standard	" ""A group 1 innate lymphoid cell that is non-cytotoxic."" [GOC:add, GOC:dsd, PMID:23292121, PMID:23348417]"
CTP0000086	IgA plasma cell	CL:0000987	standard	" ""A fully differentiated plasma cell that secretes IgA."" [GO_REF:0000031, GOC:msz, ISBN:781735149]"
CTP0000087	inflammatory macrophage	CL:0000863	standard	" ""An elicited macrophage that is recruited into the tissues in response to injury and infection as part of an inflammatory response, expresses high levels of pro-inflammatory cytokines, ROS and NO, and shows potent microbicidal activity."" [GO_REF:0000031, GOC:ana, PMID:19132917]"
CTP0000088	glial cell	CL:0000125	standard	" ""A non-neuronal cell of the nervous system. They not only provide physical support, but also respond to injury, regulate the ionic and chemical composition of the extracellular milieu. Guide neuronal migration during development, and exchange metabolites with neurons."" [MESH:A08.637]"
CTP0000089	CD8-positive, alpha-beta memory T cell	CL:0000909	standard	" ""A CD8-positive, alpha-beta T cell that has differentiated into a memory T cell."" [GOC:add, PMID:20146720]"
CTP0000090	myeloid dendritic cell	CL:0000782	standard	" ""A dendritic cell of the myeloid lineage."" [GOC:add, PMID:10449155, PMID:17332250, PMID:9521319]"
CTP0000091	group 1 innate lymphoid cell	CL:0001067	standard	" ""An innate lymphoid cell that is capable of producing the type 1 cytokine IFN-gamma, but not Th2 or Th17 cell-associated cytokines."" [GOC:add, GOC:dsd, PMID:23348417]"
CTP0000092	pericyte cell	CL:0000669	standard	" ""An elongated, contractile cell found wrapped about precapillary arterioles outside the basement membrane. Pericytes are present in capillaries where proper adventitia and muscle layer are missing (thus distingushing this cell type from adventitial cells). They are relatively undifferentiated and may become fibroblasts, macrophages, or smooth muscle cells."" [GOC:dsd, GOC:tfm, ISBN:0721662544, MESH:D020286, PMID:16807374, PMID:17986482, PMID:20024907]"
CTP0000093	smooth muscle fiber of ileum	CL:1000278	standard	" ""A smooth muscle cell that is part of the ileum."" [GOC:tfm]"
CTP0000094	mature conventional dendritic cell	CL:0000841	standard	" ""A mature cell of the conventional dendritic cell lineage, characterized by a high capacity for antigen presentation and typically found in a lymph node."" [GOC:add, GOC:tfm, PMID:9521319]"
CTP0000095	central memory CD8-positive, alpha-beta T cell	CL:0000907	standard	" ""CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:20146720, PMID:22343568]"
CTP0000096	T-helper 17 cell	CL:0000899	standard	" ""CD4-positive, alpha-beta T cell with the phenotype RORgamma-t-positive, CXCR3-negative, CCR6-positive, and capable of producing IL-17."" [GO_REF:0000031, GOC:add, GOC:pam, PMID:20303875, PMID:20969597, PMID:22343568]"
CTP0000097	memory T cell	CL:0000813	standard	" ""A long-lived, antigen-experienced T cell that has acquired a memory phenotype including distinct surface markers and the ability to differentiate into an effector T cell upon antigen reexposure."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, ISBN:0781735149]"
CTP0000098	group 3 innate lymphoid cell	CL:0001071	standard	" ""An innate lymphoid cell that constituitively expresses RORgt and is capable of expressing IL17A and/or IL-22."" [GOC:add, GOC:dsd, PMID:23292121, PMID:23348417]"
CTP0000099	tissue-resident macrophage	CL:0000864	standard	" ""A macrophage constitutively resident in a particular tissue under non-inflammatory conditions, and capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells."" [GO_REF:0000031, GOC:ana, PMID:19770654]"
CTP0000100	gut endothelial cell	CL:0000131	standard	
CTP0000101	gamma-delta T cell	CL:0000798	standard	" ""A T cell that expresses a gamma-delta T cell receptor complex."" [GOC:add, GOC:tfm, ISBN:0781735149]"
CTP0000102	activated CD4-positive, alpha-beta T cell	CL:0000896	standard	" ""A recently activated CD4-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, and CD25-positive."" [GO_REF:0000031, GOC:add, GOC:pam]"
CTP0000103	ionocyte	CL:0005006	standard	" ""Specialized epithelial cells involved in the maintenance of osmotic homeostasis. They are characterized by abundant mitochondria and ion transporters. In amniotes, they are present in the renal system. In freshwater fish, ionocytes in the skin and gills help maintain osmotic homeostasis by absorbing salt from the external environment."" [PMID:17555741, PMID:19268451]"
CTP0000104	nasal mucosa goblet cell	CL:0002480	standard	" ""A goblet cell located in the nasal epithelium."" [GOC:cjm, GOC:tfm]"
CTP0000105	olfactory bulb tufted cell	CL:1001503	standard	" ""The principal glutaminergic neuron located in the outer third of the external plexiform layer of the olfactory bulb; a single short primary dendrite traverses the outer external plexiform layer and terminates within an olfactory glomerulus in a tuft of branches, where it receives the input from olfactory receptor neuron axon terminals; axons of the tufted cells transfer information to a number of areas in the brain, including the piriform cortex, entorhinal cortex, olfactory tubercle, and amygdala."" [MP:0009955]"
CTP0000106	olfactory epithelial cell	CL:0002167	standard	" ""A specialized cell involved in sensory perception of smell."" [GOC:tfm, PMID:7143026]"
CTP0000107	brush cell	CL:0002204	standard	" ""A cell type found in the gastrointestinal and respiratory tracts that is characterized by the presence of a tuft of blunt, squat microvilli (120-140 per cell). Function of this cell type is not known."" [GOC:tfm, ISBN:0517223651, PMID:15817800]"
CTP0000108	interneuron	CL:0000099	standard	" ""Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions."" [GOC:tfm, MESH:A08.663.358]"
CTP0000109	ciliated epithelial cell	CL:0000067	standard	" ""An epithelial cell that has a cilia."" [GOC:tfm]"
CTP0000110	olfactory receptor cell	CL:0000207	standard	
CTP0000111	basal cell of olfactory epithelium	CL:0002169	standard	" ""An epithelial cell located on the basal lamina of the olfactory epithelium."" [GOC:tfm, PMID:7143026]"
