sample_name	cell_number	project_id
Sample 70_AB191	285	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 71_AB192	325	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 72_AB193	282	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 73_AB194	289	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 74_AB195	302	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 75_AB213	266	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 76_AB214	289	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 77_AB238	276	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 78_AB239	261	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 79_AB240	265	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 80_AB241	229	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 81_AB242	285	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 82_AB243	302	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 83_AB244	365	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 84_AB245	336	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 85_AB246	337	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 86_AB247	364	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 87_AB248	349	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 88_AB249	354	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 89_AB250	357	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 90_AB251	358	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 91_AB252	363	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 92_AB253	343	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 93_AB254	358	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 94_AB255	354	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 95_AB256	316	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 96_AB257	320	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 97_AB258	361	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 98_AB259	366	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 99_AB260	352	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 100_AB261	340	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 101_AB2635	348	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 102_AB2636	357	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 103_AB2637	330	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 104_AB2638	350	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 105_AB2639	325	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 106_AB2640	351	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 107_AB2641	322	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 108_AB2642	332	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 109_AB793	354	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 110_AB794	286	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 111_AB795	364	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 112_AB796	345	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 113_AB797	346	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 114_AB798	325	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 115_AB799	362	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 116_AB800	313	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 1_AB10014	373	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 2_AB10015	378	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 3_AB10016	272	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 4_AB10019	296	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 5_AB10020	378	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 6_AB10506	370	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 7_AB10507	365	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 8_AB10508	372	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 9_AB10509	348	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 10_AB10510	329	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 11_AB10511	368	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 12_AB10512	293	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 13_AB10513	364	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 14_AB10514	370	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 15_AB10515	371	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 16_AB10516	370	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 17_AB10517	347	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 18_AB10518	356	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 19_AB10519	359	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 20_AB10803	366	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 21_AB10804	359	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 22_AB10805	361	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 23_AB10806	368	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 24_AB10807	366	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 25_AB10808	367	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 26_AB10809	274	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 27_AB10810	334	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 28_AB10811	330	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 29_AB10812	312	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 30_AB10813	328	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 31_AB10814	296	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 32_AB10815	238	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 33_AB10816	295	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 34_AB10817	355	PRO000000312_EPT000000331_SCT000000292.h5ad
Single cell Donor 2	9250	PRO000000314_EPT000000337_SCT000000298.h5ad
Single nuclei (TST) Donor 4	2	PRO000000314_EPT000000337_SCT000000298.h5ad
Single nuclei (CST) Donor 1	2	PRO000000314_EPT000000337_SCT000000298.h5ad
Single nuclei (TST) Donor 2	1	PRO000000314_EPT000000337_SCT000000298.h5ad
Single nuclei (TST) Donor 1	1	PRO000000314_EPT000000337_SCT000000298.h5ad
Single nuclei (TST) Donor 3	1	PRO000000314_EPT000000337_SCT000000298.h5ad
Sample_2	7144	PRO000000308_EPT000000327_SCT000000287.h5ad
snRNAseq of HCC S44	68504	PRO000000314_EPT000000335_SCT000000296.h5ad
snRNAseq of cirrhotic liver (surrounding tissue) s43	21514	PRO000000314_EPT000000335_SCT000000296.h5ad
snRNAseq of HCC S42	27185	PRO000000314_EPT000000335_SCT000000296.h5ad
snRNAseq of cirrhotic liver (surrounding tissue) S41	11807	PRO000000314_EPT000000335_SCT000000296.h5ad
NASH_DC	7737	PRO000000312_EPT000000332_SCT000000293.h5ad
CONTROL_DC	4102	PRO000000312_EPT000000332_SCT000000293.h5ad
Liver CD8T cells - ND	8771	PRO000000313_EPT000000333_SCT000000294.h5ad
Liver CD8T cells - HFHC	9097	PRO000000313_EPT000000333_SCT000000294.h5ad
Liver CD8T cells - RES	10952	PRO000000313_EPT000000333_SCT000000294.h5ad
Liver CD8T cells - ND_GEX	11948	PRO000000313_EPT000000333_SCT000000294.h5ad
Liver CD8T cells - RES_GEX	11421	PRO000000313_EPT000000333_SCT000000294.h5ad
NASH liver-whole	7129	PRO000000311_EPT000000330_SCT000000291.h5ad
4834STDY7002880	396	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7277561	4753	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352189	2602	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7198631	3253	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7277552	2550	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316891	3916	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316901	2587	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002879	574	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7038753	788	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352190	6305	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7462242	1970	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002875	346	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316886	4325	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7528287	2207	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316895	3630	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7579227	1660	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7462237	3190	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352194	3684	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7241241	5127	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002882	1253	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7179364	4457	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316893	3592	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352192	4915	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7292032	6136	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002877	157	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7038751	751	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002886	998	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7462240	3492	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7198628	2719	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7555856	3098	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316888	6023	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7528289	2826	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7555847	4198	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316897	7683	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7462239	3481	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352196	1867	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7241240	331	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002881	1049	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7179363	3041	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7198434	4947	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7277553	3676	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316892	3526	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352191	6553	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7462243	4467	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002876	738	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7038750	289	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002885	399	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316887	4392	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7528288	2946	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7555846	3718	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316896	2822	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7462238	3074	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352195	3694	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002883	1103	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7528286	2529	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316894	3870	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7579226	4312	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7528295	2661	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7352193	5184	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7292028	2223	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7002878	1220	PRO000000309_EPT000000328_SCT000000288.h5ad
4834STDY7038752	260	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7462241	4968	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7198629	3797	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7555857	3726	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316889	4048	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7277560	6087	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7198630	3080	PRO000000309_EPT000000328_SCT000000288.h5ad
FCAImmP7316890	4241	PRO000000309_EPT000000328_SCT000000288.h5ad
S001	3374	PRO000000315_EPT000000338_SCT000000299.h5ad
S002	7205	PRO000000315_EPT000000338_SCT000000299.h5ad
S003	5771	PRO000000315_EPT000000338_SCT000000299.h5ad
S004	4362	PRO000000315_EPT000000338_SCT000000299.h5ad
S005	1609	PRO000000315_EPT000000338_SCT000000299.h5ad
S006	3524	PRO000000315_EPT000000338_SCT000000299.h5ad
S007	1531	PRO000000315_EPT000000338_SCT000000299.h5ad
S008	325	PRO000000315_EPT000000338_SCT000000299.h5ad
S009	4800	PRO000000315_EPT000000338_SCT000000299.h5ad
S010	174	PRO000000315_EPT000000338_SCT000000299.h5ad
S011	4560	PRO000000315_EPT000000338_SCT000000299.h5ad
S012	2056	PRO000000315_EPT000000338_SCT000000299.h5ad
S013	2359	PRO000000315_EPT000000338_SCT000000299.h5ad
S014	17	PRO000000315_EPT000000338_SCT000000299.h5ad
S015	1440	PRO000000315_EPT000000338_SCT000000299.h5ad
S016	17	PRO000000315_EPT000000338_SCT000000299.h5ad
S017	119	PRO000000315_EPT000000338_SCT000000299.h5ad
S018	137	PRO000000315_EPT000000338_SCT000000299.h5ad
S019	519	PRO000000315_EPT000000338_SCT000000299.h5ad
S020	443	PRO000000315_EPT000000338_SCT000000299.h5ad
S021	64	PRO000000315_EPT000000338_SCT000000299.h5ad
S022	245	PRO000000315_EPT000000338_SCT000000299.h5ad
S023	370	PRO000000315_EPT000000338_SCT000000299.h5ad
S024	149	PRO000000315_EPT000000338_SCT000000299.h5ad
S025	510	PRO000000315_EPT000000338_SCT000000299.h5ad
S026	138	PRO000000315_EPT000000338_SCT000000299.h5ad
S027	12	PRO000000315_EPT000000338_SCT000000299.h5ad
S028	586	PRO000000315_EPT000000338_SCT000000299.h5ad
S029	730	PRO000000315_EPT000000338_SCT000000299.h5ad
S030	1244	PRO000000315_EPT000000338_SCT000000299.h5ad
S031	843	PRO000000315_EPT000000338_SCT000000299.h5ad
S032	545	PRO000000315_EPT000000338_SCT000000299.h5ad
S033	594	PRO000000315_EPT000000338_SCT000000299.h5ad
S034	1388	PRO000000315_EPT000000338_SCT000000299.h5ad
S035	704	PRO000000315_EPT000000338_SCT000000299.h5ad
S036	115	PRO000000315_EPT000000338_SCT000000299.h5ad
S037	296	PRO000000315_EPT000000338_SCT000000299.h5ad
S038	202	PRO000000315_EPT000000338_SCT000000299.h5ad
S039	88	PRO000000315_EPT000000338_SCT000000299.h5ad
S040	925	PRO000000315_EPT000000338_SCT000000299.h5ad
S041	787	PRO000000315_EPT000000338_SCT000000299.h5ad
S042	1037	PRO000000315_EPT000000338_SCT000000299.h5ad
S043	111	PRO000000315_EPT000000338_SCT000000299.h5ad
S044	438	PRO000000315_EPT000000338_SCT000000299.h5ad
S045	130	PRO000000315_EPT000000338_SCT000000299.h5ad
S046	128	PRO000000315_EPT000000338_SCT000000299.h5ad
BALF, C141 (scRNA-seq)	4435	PRO000000310_EPT000000329_SCT000000289.h5ad
C148 (scRNA-seq)	2570	PRO000000310_EPT000000329_SCT000000289.h5ad
C149 (scRNA-seq)	2521	PRO000000310_EPT000000329_SCT000000289.h5ad
BALF, C144 (scRNA-seq)	1785	PRO000000310_EPT000000329_SCT000000289.h5ad
C152 (scRNA-seq)	7081	PRO000000310_EPT000000329_SCT000000289.h5ad
BALF, C146 (scRNA-seq)	3696	PRO000000310_EPT000000329_SCT000000289.h5ad
BALF, C142 (scRNA-seq)	4872	PRO000000310_EPT000000329_SCT000000289.h5ad
C52 (scRNA-seq)	10366	PRO000000310_EPT000000329_SCT000000289.h5ad
BALF, C145 (scRNA-seq)	17464	PRO000000310_EPT000000329_SCT000000289.h5ad
C51 (scRNA-seq)	11115	PRO000000310_EPT000000329_SCT000000289.h5ad
BALF, C143 (scRNA-seq)	20370	PRO000000310_EPT000000329_SCT000000289.h5ad
C100 (scRNA-seq)	6731	PRO000000310_EPT000000329_SCT000000289.h5ad
